id,fnid,parent_id,admin_0,admin_1,admin_2,admin_3,population_unconstrained_mean,population_unconstrained_sd,population_unconstrained_sum
223343,ET2023A3040914,222730,Ethiopia,Oromia,West Hararge,Bedesa town,67.89811847857735,33.20216206472772,24239.62829685211
223109,ET2023A3030997,222716,Ethiopia,Amhara,Awi,Zigem town,2.69926679278865,0.3905520194977081,890.7580416202545
223347,ET2023A3041000,222731,Ethiopia,Oromia,East Hararge,Babile town,10.186354530593496,4.112282435734465,4125.473584890366
223369,ET2023A3041097,222731,Ethiopia,Oromia,East Hararge,Deder town,25.350360596721824,9.740824131472332,8923.326930046082
223105,ET2023A3030910,222716,Ethiopia,Amhara,Awi,Tilili town,33.712829089044924,19.065679904100584,13417.70597743988
223921,ET2023A3192517,222791,Ethiopia,Central Ethiopia,East Gurage,Bui town,24.46674244175379,12.37890416126803,9957.964173793793
223896,ET2023A3190214,222787,Ethiopia,Central Ethiopia,Hadiya,Jajura town,6.85039099643105,0.4970470605323698,2603.148578643799
223705,ET2023A3160022,222767,Ethiopia,Sidama,Sidama,Leku town,51.72810036189973,16.31891843175712,16294.351613998413
223713,ET2023A3160030,222767,Ethiopia,Sidama,Sidama,Daye town,60.58555130309045,16.064325074295596,18236.250942230225
223138,ET2023A3031128,222718,Ethiopia,Amhara,Central Gondar,Kollo Debba town,28.670349688279,8.32229454476933,10894.73288154602
223835,ET2023A3181301,222778,Ethiopia,South Ethiopia,Konso,Karat town,9.049605218688054,3.805947678400214,3031.617748260498
222850,ET2023A3010318,222697,Ethiopia,Tigray,East Tigray,Zala Anbesa town,12.346183423889416,4.772073345719341,2209.9668328762054
223139,ET2023A3031129,222718,Ethiopia,Amhara,Central Gondar,Shawra town,5.364006906117558,1.5493346874628444,1775.4862859249115
223806,ET2023A3180616,222775,Ethiopia,South Ethiopia,Wolayita,Tebela town,20.462960748459505,7.676668276715602,8246.57318162918
223071,ET2023A3030624,222713,Ethiopia,Amhara,East Gojam,Debrework town,21.725910135889173,10.279351959660254,8755.541784763336
222845,ET2023A3010313,222697,Ethiopia,Tigray,East Tigray,Freweyni town,22.448971158104975,6.382242832959557,8306.11932849884
223073,ET2023A3030698,222713,Ethiopia,Amhara,East Gojam,Dejen town,17.441820391450825,6.966927776372629,5459.289782524109
222843,ET2023A3010311,222697,Ethiopia,Tigray,East Tigray,Edaga Hamus town,17.98983681720236,6.1088011994289735,6206.493701934814
223814,ET2023A3181003,222776,Ethiopia,South Ethiopia,Gamo,Selamber town,13.869440332422116,2.7715516750516156,5630.992774963379
223155,ET2023A3031397,222720,Ethiopia,Amhara,North Gojam,Merawi town,40.9699372028959,17.607177708770376,14134.628334999084
223007,ET2023A3030423,222711,Ethiopia,Amhara,South Wollo,Wereilu town,12.558190930529934,5.607382500999717,4910.252653837204
223140,ET2023A3031199,222718,Ethiopia,Amhara,Central Gondar,Aykel town,27.80578549882056,8.465622569773045,9871.053852081299
223084,ET2023A3030720,222714,Ethiopia,Amhara,West Gojam,Jiga town,27.04081735044423,13.87728410603812,10924.490209579468
223832,ET2023A3181022,222776,Ethiopia,South Ethiopia,Gamo,Birbir town,11.011864423751831,4.544468197100928,4228.555938720703
223833,ET2023A3181023,222776,Ethiopia,South Ethiopia,Gamo,Gerese town,19.82858710007001,10.01222516747021,7376.234401226044
223741,ET2023A3170916,222769,Ethiopia,South West Ethiopia,Keffa,Deka town,19.440078886013467,9.890257482956567,5968.104218006134
223070,ET2023A3030623,222713,Ethiopia,Amhara,East Gojam,Gundwoin town,25.970643966094308,11.050624335337421,11946.496224403381
222882,ET2023A3010701,222701,Ethiopia,Tigray,Mekele,Adihaki Sub City,18.970328301905546,7.224289010753086,8707.380690574646
222810,ET2023A3010116,222695,Ethiopia,Tigray,Northwest Tigray,May Tsebri town,5.678426167730129,1.9465905387328062,2998.209016561508
223074,ET2023A3030699,222713,Ethiopia,Amhara,East Gojam,Bechena town,40.218994593900796,15.292192453471065,17093.072702407837
223048,ET2023A3030599,222712,Ethiopia,Amhara,North Shewa (AM),Aleme Ketma,19.945958378291365,9.610917119891996,10072.70898103714
223046,ET2023A3030597,222712,Ethiopia,Amhara,North Shewa (AM),Mehale Meda town,15.022235678622597,5.168184637591448,7135.561947345734
223156,ET2023A3031399,222720,Ethiopia,Amhara,North Gojam,Adete town,36.18129342756931,20.31264819787384,17258.47696495056
