id,fnid,parent_id,admin_0,admin_1,admin_2,admin_3,topo_diversity_mean,topo_diversity_sd,topo_diversity_sum
223132,ET2023A3031120,222718,Ethiopia,Amhara,Central Gondar,Tach Armacho,0.47689512042921844,0.2661374337356629,9068.160714961588
223389,ET2023A3041223,222733,Ethiopia,Oromia,Borena,Gomole,0.24002677067296413,0.08101757580139093,4482.499942317605
223606,ET2023A3051103,222754,Ethiopia,Somali,Daawa,Moyale (SM),0.25689568143032243,0.2236637517914324,4864.576623564586
223340,ET2023A3040911,222730,Ethiopia,Oromia,West Hararge,Kuni /Oda Bultum,0.45949639317877067,0.2356773125617499,8817.735785100609
223204,ET2023A3040301,222724,Ethiopia,Oromia,Ilubabor,Darimu,0.3669555628374982,0.17043771744651454,7061.325895681977
223855,ET2023A3182203,222782,Ethiopia,South Ethiopia,Burji,Burji,0.43089125297449676,0.21688177105020684,8233.03917058371
223081,ET2023A3030711,222714,Ethiopia,Amhara,West Gojam,Wemberma,0.5307129021917634,0.27808699268327,10260.272538073361
223540,ET2023A3050306,222746,Ethiopia,Somali,Jarar,Bilcil-Bur,0.10232461473622825,0.06323595391201701,1969.0325613692403
223345,ET2023A3040991,222730,Ethiopia,Oromia,West Hararge,Gumbi Bordede,0.2912825541547651,0.16982237409714537,5629.326641594991
223359,ET2023A3041012,222731,Ethiopia,Oromia,East Hararge,Melka Balo,0.6294979898812855,0.27670237103553064,12237.44092329219
223225,ET2023A3040408,222725,Ethiopia,Oromia,Jimma,Gera,0.47364948091465214,0.1705403751484714,9251.7953107059
223546,ET2023A3050399,222746,Ethiopia,Somali,Jarar,Dig,0.038457654435317026,0.013345597047603535,758.1157418834046
223130,ET2023A3031117,222718,Ethiopia,Amhara,Central Gondar,East Belesa,0.49725919608443014,0.1678007163047867,9990.434508532286
222997,ET2023A3030413,222711,Ethiopia,Amhara,South Wollo,Kelela,0.611948273948316,0.18682619159357008,12249.368599623442
223868,ET2023A3182507,222785,Ethiopia,South Ethiopia,South Omo (Pas),Malie,0.495303332146398,0.2817134458957329,9838.210086423904
222995,ET2023A3030411,222711,Ethiopia,Amhara,South Wollo,Sayint,0.8370990067244437,0.13757578819338143,16929.49031199515
222924,ET2023A3020402,222705,Ethiopia,Afar,Fanti,Euwa,0.09640948712984881,0.10182137592083379,1963.8612528350204
222930,ET2023A3020502,222706,Ethiopia,Afar,Khari,Samurobi,0.1975507447970437,0.15246626180566056,3998.6246254369617
223141,ET2023A3031206,222719,Ethiopia,Amhara,West Gondar,Mirab Armacho,0.14205484468552226,0.11706604739196792,2920.079387355596
223286,ET2023A3040701,222728,Ethiopia,Oromia,East Shewa,Fentale,0.24141456176120485,0.18939704200351198,4936.444958893117
222938,ET2023A3030101,222708,Ethiopia,Amhara,North Gondar,Addi Arekay,0.7762618442224767,0.1707543490318369,16166.4291677773
223532,ET2023A3050297,222745,Ethiopia,Somali,Fafan,Koran /Mulla,0.19620436674070071,0.1039196764509547,4026.309809885919
223374,ET2023A3041110,222732,Ethiopia,Oromia,Bale,Goba (OR),0.5228936764528072,0.26402276796545304,10685.332278313115
222869,ET2023A3010505,222699,Ethiopia,Tigray,West Tigray,May Kadra,0.09716070499865474,0.06846387371592677,2037.168501706794
223146,ET2023A3031225,222719,Ethiopia,Amhara,West Gondar,Adagn Ager Chaqo,0.5238499930667715,0.2017685452152404,10974.133504755795
223491,ET2023A3042201,222742,Ethiopia,Oromia,East Borena,Oborso,0.47702083763375924,0.20838394094922155,9817.088838502765
222894,ET2023A3020106,222702,Ethiopia,Afar,Awusi,Chifra,0.11346848254390007,0.09549788361521241,2372.6259699929506
223621,ET2023A3060305,222756,Ethiopia,Benishangul Gumuz,Asosa,Bambasi,0.27739363696726227,0.1789003712992454,5764.7945634536445
223136,ET2023A3031126,222718,Ethiopia,Amhara,Central Gondar,Masero Denb/Central Armacho,0.4123108065035044,0.19786334695975302,8674.194747220725
222915,ET2023A3020304,222704,Ethiopia,Afar,Gabi,Dulecha,0.16106648588907216,0.14342619463371736,3348.7333081196994
223631,ET2023A3060403,222757,Ethiopia,Benishangul Gumuz,Kemashi,Kamashi,0.4746066712239676,0.1881516311203264,9868.496514759958
223826,ET2023A3181015,222776,Ethiopia,South Ethiopia,Gamo,Arba Minch Zuria,0.3124341819611362,0.2704565405306676,6331.478697442425
223050,ET2023A3030602,222713,Ethiopia,Amhara,East Gojam,Hulet Ej Enese,0.5679700358720264,0.26589788239549483,11904.083981841803
223005,ET2023A3030421,222711,Ethiopia,Amhara,South Wollo,Mekdela,0.7415322231250435,0.2090280318862711,15581.075072303414
223330,ET2023A3040901,222730,Ethiopia,Oromia,West Hararge,Mieso,0.3169240782682642,0.1895024284427028,6682.027266208082
223542,ET2023A3050382,222746,Ethiopia,Somali,Jarar,Yocale,0.0507019025817073,0.041711014296620934,1068.6440007146448
223379,ET2023A3041116,222732,Ethiopia,Oromia,Bale,Goro (Bale),0.43281917677488907,0.20739287956905222,9123.828246414661
222950,ET2023A3030205,222709,Ethiopia,Amhara,South Gondar,Lay Gayint,0.7206903868146716,0.1890046661353229,15414.125993192196
222954,ET2023A3030209,222709,Ethiopia,Amhara,South Gondar,Dera (AM),0.43571327477073024,0.25619852949562405,9338.20690488629
223266,ET2023A3040602,222727,Ethiopia,Oromia,North Shewa (OR),Dera (OR),0.6272708183413234,0.22894196747051024,13540.895155534148
223361,ET2023A3041014,222731,Ethiopia,Oromia,East Hararge,Midhaga Tola,0.26756502921445807,0.2108064820333833,5791.712622376159
223534,ET2023A3050299,222745,Ethiopia,Somali,Fafan,Harawo,0.23227334380651607,0.15069132650605072,5083.766675893217
223605,ET2023A3051096,222753,Ethiopia,Somali,Nogob,Hararey,0.08325820890933293,0.03698088682187262,1815.2787288501859
223377,ET2023A3041114,222732,Ethiopia,Oromia,Bale,Berbere,0.4241249153789281,0.28132073487244624,9253.981528652832
223465,ET2023A3041807,222739,Ethiopia,Oromia,Kelem,Anfilo,0.4533092345356546,0.2617702792526858,9942.431441070512
223091,ET2023A3030805,222715,Ethiopia,Amhara,Wag Himra,Abergele (AM),0.6409662572409021,0.2668377610225198,14299.957199044526
223766,ET2023A3171804,222772,Ethiopia,South West Ethiopia,West Omo,Menit Shasha,0.44231529699674943,0.2443870326917562,9740.225155165419
223427,ET2023A3041518,222736,Ethiopia,Oromia,West Gujii,Melka Soda,0.31796574328550564,0.15585398546701976,7057.567637965083
223188,ET2023A3040203,222723,Ethiopia,Oromia,East Wellega,Gida Ayana,0.39349758147647473,0.20428530213537574,8850.941100150347
