id,location_name,address,longitude,latitude,status
47,Sidama Yirgalem FDRE Ministry of Revenues  Fayda Registration Centers (Coming Soon),https://goo.gl/maps/Cu9tbz9VteycSt1a9,6.748,38.411,0
48,Sidama Aleta Wendo Town FDRE Ministry of Revenues  Fayda Registration Centers (Coming Soon),https://goo.gl/maps/egYgSQVztXz7NTpQ6,6.603,38.419,0
49,Sidama Aleta Cheko Town  FDRE Ministry of Revenues  Fayda Registration Centers (Coming Soon),https://goo.gl/maps/wRvJB3qRajePoqdw8,6.585,38.335,0
50,Sidama Leku  FDRE Ministry of Revenues  Fayda Registration Centers  (Coming Soon),https://goo.gl/maps/GjiYyBHXU9JUzcC37,6.876,38.448,0
51,Konso Revenue Authority Fayda Registration Centers (Coming Soon),https://goo.gl/maps/Js64NiGYJ45LMSZf6,5.34,37.442,0
52,Burji Revenue Authority Fayda Registration Centers (Coming Soon),https://goo.gl/maps/xjakofXGDjdHWe2R6,5.488,37.863,0
53,Leku Revenue Authority Fayda Registration Centers (Coming Soon),https://goo.gl/maps/DDYmuJNnmT29n1ow6,6.876,38.448,0
54,Yirgalem Revenue Authority Fayda Registration Centers (Coming Soon),https://goo.gl/maps/sEM166TFzX99B1Kt9,6.747,38.414,0
55,"Ministry of Revenue, Hawassa Branch Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/tMEQnc8xZa1pCyMw6,7.057,38.473,0
56,"Ministry of Revenue, Babile City Fayda Registration Centers  (Coming Soon)",https://goo.gl/maps/CVTeXHAy3px5oRjx8,9.222,42.329,0
57,"Ministry of Revenue, Negele City Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/AEwgYK3PQ9K8cb6JA,5.333,39.575,0
58,"Ministry of Revenue, West Guji City Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/QdjuS2qJJ8n1PdEo7,5.617,38.242,0
59,"Ministry of Revenue, Yabelo City Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/XCPfqLHbwV15kvNc7,4.895,38.1,0
60,"Ministry of Revenue, Bule Hora City Fayda Registration Centers  (Coming Soon)",https://goo.gl/maps/1swMRKvSutsq5sqU6,5.633,38.239,0
61,"Ministry of Revenue, Nekemt City Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/KTAneTjpuigQcSB5A,9.09,36.556,0
62,"Ministry of Revenue, Fitche City Fayda Registration Centers  (Coming Soon)",https://goo.gl/maps/M4EkpcCGbedNALyu7,9.791,38.734,0
63,"Ministry of Revenue, Dembi Dollo Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/UbhyQ7RtoEvfZe9y7,8.533,34.802,0
64,"Ministry of Revenue, Holeta Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/BHGWSWSRPLCgPdbU9,9.063,38.491,0
65,"Ministry of Revenue, Mojo Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/E4sxBitJbgCzRwfJ9,8.587,39.123,0
66,"Ministry of Revenue, Moyale City Fayda Registration Centers  (Coming Soon)",https://goo.gl/maps/P5ySQt96GSGVJqtg7,3.536,39.051,0
67,"Ministry of Revenue, Enjibara Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/7RNUEVkMY9z8Xtg7A,10.959,36.93,0
68,"Ministry of Revenue, Chagni Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/FKskJXquQDxu46tUA,10.956,36.503,0
69,"Ministry of Revenue, Dangla Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/yTLkX5sxvPh289rb7,11.257,36.841,0
70,"Ministry of Revenue, FinoteSelam Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/71scLkKKhZXiFEGeA,10.679,37.259,0
71,"Ministry of Revenue, Adet Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/vsPLt79EVYLtidu88,11.264,37.492,0
72,"Ministry of Revenue, Denbecha Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/pa45awaipxTDTMaJ6,10.563,37.495,0
73,"Ministry of Revenue, Debretabor Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/dFFPNyXkCprT8uLYA,11.857,38.015,0
74,"Ministry of Revenue, Metema Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/4MGJVuYzfpA74rk4A,12.955,36.157,0
75,"Ministry of Revenue, Gojam, Durbete Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/at72j2PGL93oB9ox5,11.357,36.957,0
76,"Ministry of Revenue, Gojam Merawi Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/QDPFm5VpwLeZSW9Z7,11.413,37.156,0
77,"Ministry of Revenue, Awi Tilili Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/MYheZob2XmFZPb2y6,10.851,37.021,0
78,"Ministry of Revenue, Nifas Mewcha Fayda Registration Centers  (Coming Soon)",https://goo.gl/maps/Wci1pEpKbrbVowyF7,11.738,38.469,0
79,"Ministry of Revenue, Woreta Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/QAEyhpvfqjugZovj6,11.923,37.699,0
80,"Ministry of Revenue, MekaneEyesus Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/iZ73MrvnpJAiTkQ99,11.615,38.057,0
81,"Ministry of Revenue, Dollo-Ado Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/eCbfnX3TMKSHY9PD9,4.181,42.048,0
82,"Ministry of Revenue, Korahay Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/UEctH2bds8GwqFqV8,6.807,44.252,0
83,"Ministry of Revenue, Gode Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/eYqwD6nzKCMZYm1F7,5.949,43.565,0
84,"Ministry of Revenue, Gilgel Beles Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/5r3cdJetJDEqt14R8,11.16,36.344,0
85,"Ministry of Revenue, Kemashi Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/h8a1ocKp4Bw6TibR9,9.501,35.863,0
86,"Ministry of Revenue, South west region Benchi sheko Zone Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/bbQjt2eL23u59wvf8,6.964,35.569,0
87,"Ministry of Revenue, Kefa Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/aHMBWPFUzYaeAUGP9,7.262,36.249,0
88,"Ministry of Revenue, West Omo Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/XBpptR8Gd4wWuZop9,6.704,35.77,0
89,"Ministry of Revenue, Administration Dabat Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/AEZ8YcvXeh8sSTaJ8,12.982,37.762,0
90,"Ministry of Revenue, Woldiya Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/QAJKjPVJaNWnJHbf6,11.83,39.6,0
91,"Ministry of Revenue, Kombolcha Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/HNC3SsrvZtmwUJES8,11.086,39.728,0
92,"Ministry of Revenue, Bichena Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/T3s5vgQ6EbADjnzDA,10.448,38.203,0
93,"Ministry of Revenue, Dejen Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/PGq7JvCfMcHaKepw5,10.177,38.124,0
94,"Ministry of Revenue, Mota City Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/T7peHW78n8mUvJwW6,11.079,37.878,0
95,"Ministry of Revenue, Amanuel Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/dxQL2QMZMz9R9qpG9,10.44,37.567,0
96,"Ministry of Revenue, Aykel Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/RFab9UAAoUU5KY8t6,12.55,37.064,0
97,"Ministry of Revenue, Kola Diba Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/r4sxFU5Z555bxXfB9,12.423,37.324,0
98,"Ministry of Revenue, Amba Giorgis Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/mvsbTvMTtat4RQSp7,12.769,37.625,0
99,"Ministry of Revenue, Kemise Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/YpJFviWbmgwM8UTp7,10.725,39.873,0
100,"Ministry of Revenue, Bati City Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/Uw5bk3PbxNEaJY1m6,11.195,40.017,0
101,"Ministry of Revenue, Shewa Robit Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/XhbKfNzFDqFCJWFV6,9.993,39.896,0
102,"Ministry of Revenue, Arerti  Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/rRUzzdRJ7Sds4YCZ8,8.929,39.425,0
103,"Ministry of Revenue, Mehal Meda  Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/3rFxw8KY3Mob6Qn57,10.311,39.657,0
104,"Ministry of Revenue, Debre markos City Fayda Registration Centers (Coming Soon)",https://goo.gl/maps/1EQRVBP1BxjA1hbZ7,10.33,37.734,0
