admin_0,admin_1,admin_2,admin_3,night_time_mean,night_time_sd,night_time_sum
Ethiopia,South West Ethiopia,West Omo,Bero,2.5166497735480893e+38,1.4933816737200878e+38,2.502028038363775e+43
Ethiopia,Amhara,South Wollo,Mehal Sayint,3.392199841385657e+38,1.8983534717931548e+37,1.662415376267869e+43
Ethiopia,Tigray,Central Tigray,Chila,3.3753521501248648e+38,3.0450840120821205e+37,1.7769203859117339e+43
Ethiopia,Oromia,West Gujii,Hambela Wamena,2.7402953618093825e+38,1.3474133337761344e+38,4.139024323337746e+43
Ethiopia,Tigray,East Tigray,Atsbi,3.2326058663418666e+38,7.417859613493633e+37,1.799106794912566e+43
Ethiopia,Amhara,West Gojam,Quarit,3.3614564317467937e+38,3.7289875924687784e+37,2.303337176161538e+43
Ethiopia,Oromia,East Wellega,Nunu Kumba,3.3123380329843457e+38,5.474653801703033e+37,2.999520829149304e+43
Ethiopia,Oromia,Arsi,Tiyo,2.7021115814866043e+38,1.3760093384385308e+38,3.065059209111885e+43
Ethiopia,Tigray,East Tigray,Saesie,3.1047420960548594e+38,9.620113193276893e+37,1.7143764905995722e+43
Ethiopia,South Ethiopia,Gofa,Melo Gada,1.6405849903734918e+38,1.7003240847566704e+38,1.8961553201738744e+43
Ethiopia,Oromia,South West Shewa,Kersana Malima,3.2605209918852044e+38,6.811609246754646e+37,4.371641335499844e+43
Ethiopia,Oromia,Ilubabor,Didu,2.8902176911956045e+38,1.2171862142097494e+38,2.6319478383103653e+43
Ethiopia,Amhara,Oromia,Artuma Fursi,3.1624495338016133e+38,8.718775321324114e+37,1.9067040729196688e+43
Ethiopia,Oromia,West Wellega,Sayo Nole,3.254170664149457e+38,6.955153400029756e+37,2.0380870869568048e+43
Ethiopia,Oromia,Gujii,Uraga,2.7045090738534165e+38,1.3742625698915345e+38,1.8841773815721981e+43
Ethiopia,Oromia,North Shewa (OR),Kimbibit,3.372127284529782e+38,3.217319262458147e+37,2.9120342378285384e+43
Ethiopia,Oromia,Horo Guduru,Ababo,3.0335891096065585e+38,1.0583502839875545e+38,5.176000746483999e+43
Ethiopia,Oromia,East Wellega,Leka Dulecha,2.6756771462191205e+38,1.394850813107247e+38,2.402597536675997e+43
Ethiopia,Amhara,North Wollo,Dawunt,3.387512737262496e+38,2.2773952208660535e+37,2.070413909887465e+43
Ethiopia,Amhara,North Shewa (AM),Mojan Wedera,3.2895171198134043e+38,6.105105788041059e+37,1.4789011067257103e+43
Ethiopia,Oromia,East Wellega,Wama Hagalo,3.3057027120592814e+38,5.666148082893044e+37,1.7825010163966057e+43
