id,fnid,parent_id,admin_0,admin_1,admin_2,admin_3,decision_mean,decision_sd,decision_sum
222827,ET2023A3010217,222696,Ethiopia,Tigray,Central Tigray,Hahayle,0.25689049910525885,0.019843330261953552,62.93817228078842
223431,ET2023A3041596,222736,Ethiopia,Oromia,West Gujii,Birbirsa Kojowa,0.4908104501508769,0.04074121920123532,117.30369758605957
223915,ET2023A3192012,222789,Ethiopia,Central Ethiopia,Silltie,Mito,0.4762325977680573,0.03221546685563122,113.8195908665657
223158,ET2023A3031412,222721,Ethiopia,Amhara,Bahir Dar,Bahir Dar town,0.2771760135195976,0.04528011401494628,71.51141148805618
223510,ET2023A3042311,222743,Ethiopia,Oromia,Shager City,Sebeta,0.2659137684702873,0.020865654831666247,66.47844211757183
223793,ET2023A3180603,222775,Ethiopia,South Ethiopia,Wolayita,Damot Woide,0.3877139135217114,0.027603048345136886,100.41790360212326
223756,ET2023A3171706,222771,Ethiopia,South West Ethiopia,Dawro,Kache,0.32917308736695605,0.017191205497716047,83.28079110383987
223299,ET2023A3040715,222728,Ethiopia,Oromia,East Shewa,Batu town,0.4693274888778939,0.042794072427050696,120.61716464161873
223368,ET2023A3041089,222731,Ethiopia,Oromia,East Hararge,Goro Muti,0.2471156409010291,0.014950178761170876,63.26160407066345
223889,ET2023A3190207,222787,Ethiopia,Central Ethiopia,Hadiya,Duna,0.3251411799758558,0.01485254753773335,84.21156561374664
223529,ET2023A3050293,222745,Ethiopia,Somali,Fafan,Jigjiga town,0.2755469264970584,0.03229032601371735,72.74438859522343
223890,ET2023A3190208,222787,Ethiopia,Central Ethiopia,Hadiya,Analemmo,0.4199788033075935,0.02094173885609435,112.97429808974266
223899,ET2023A3190217,222787,Ethiopia,Central Ethiopia,Hadiya,Mirab Soro,0.3241213720969178,0.033111744017252226,85.56804223358631
223686,ET2023A3160003,222767,Ethiopia,Sidama,Sidama,Arbegona,0.38995367411832166,0.03913687894228697,103.72767731547356
223906,ET2023A3192003,222789,Ethiopia,Central Ethiopia,Silltie,Lanfero,0.4633371604277807,0.03205078517763722,126.02770763635635
223875,ET2023A3190109,222786,Ethiopia,Central Ethiopia,Gurage,Gumer,0.3056039621724802,0.04525967334849549,83.12427771091461
223924,ET2023A3192601,222792,Ethiopia,Central Ethiopia,Kebena,Kebena,0.3514341435036474,0.021180587940737395,99.45586261153221
223887,ET2023A3190205,222787,Ethiopia,Central Ethiopia,Hadiya,Misrak Badawacho,0.40754984313869136,0.02884436845915124,113.70640623569489
223792,ET2023A3180602,222775,Ethiopia,South Ethiopia,Wolayita,Damot Gale,0.37156261993454887,0.014452183841291067,106.26690930128098
223541,ET2023A3050307,222746,Ethiopia,Somali,Jarar,Degahabur town,0.27730638633683785,0.023756388057199786,80.69615842401981
223297,ET2023A3040712,222728,Ethiopia,Oromia,East Shewa,Akaki,0.32568496557855114,0.019227566699470598,94.77432498335838
223354,ET2023A3041007,222731,Ethiopia,Oromia,East Hararge,Kurfa Chele,0.19501888460212655,0.01819315745458342,55.77540099620819
