id,fnid,parent_id,admin_0,admin_1,admin_2,admin_3,education_mean,education_sd,education_sum
223677,ET2023A3150112,222765,Ethiopia,Dire Dawa,Dire Dawa urban,Hafat Issa,0.19262748956680298,0.0,0.19262748956680298
223725,ET2023A3170805,222768,Ethiopia,South West Ethiopia,Sheka,Masha town,0.4035206437110901,0.0,0.4035206437110901
223850,ET2023A3181511,222779,Ethiopia,South Ethiopia,Gofa,Laha town,0.5552357137203217,0.0015536844730377197,1.1104714274406433
222847,ET2023A3010315,222697,Ethiopia,Tigray,East Tigray,Atsbi town,0.5619912147521973,0.0,0.5619912147521973
223675,ET2023A3150110,222765,Ethiopia,Dire Dawa,Dire Dawa urban,Gende Kore,0.1628378927707672,0.0,0.1628378927707672
223676,ET2023A3150111,222765,Ethiopia,Dire Dawa,Dire Dawa urban,Dechatu,0.438488245010376,0.0,0.438488245010376
223095,ET2023A3030809,222715,Ethiopia,Amhara,Wag Himra,Amde Work town,0.6266153454780579,0.0,0.6266153454780579
223673,ET2023A3150105,222765,Ethiopia,Dire Dawa,Dire Dawa urban,Legehare,0.23209241032600403,0.0,0.23209241032600403
223043,ET2023A3030527,222712,Ethiopia,Amhara,North Shewa (AM),Molale town,0.46298086643218994,0.0,0.46298086643218994
223107,ET2023A3030912,222716,Ethiopia,Amhara,Awi,Fendika town,0.5639864206314087,0.0,0.5639864206314087
223762,ET2023A3171712,222771,Ethiopia,South West Ethiopia,Dawro,Gesa town,0.4731869101524353,0.0,0.4731869101524353
223014,ET2023A3030430,222711,Ethiopia,Amhara,South Wollo,Wegde town,0.5478121638298035,0.008759379386901855,1.095624327659607
223119,ET2023A3031008,222717,Ethiopia,Amhara,Oromia,Senbete town,0.5568747520446777,0.012073814868927002,1.1137495040893555
223719,ET2023A3160036,222767,Ethiopia,Sidama,Sidama,Wondo-Genet town,0.2844567596912384,0.0,0.2844567596912384
223863,ET2023A3182412,222784,Ethiopia,South Ethiopia,South Omo (Agr),Gelila town,0.6296258270740509,0.006811350584030151,1.2592516541481018
223853,ET2023A3182101,222781,Ethiopia,South Ethiopia,Amaro,Kele town,0.6826061308383942,0.023035019636154175,1.3652122616767883
222899,ET2023A3020112,222702,Ethiopia,Afar,Awusi,Chifra town,0.6771669387817383,0.0,0.6771669387817383
222900,ET2023A3020113,222702,Ethiopia,Afar,Awusi,Mile town,0.6353609561920166,0.0013746023178100586,1.2707219123840332
223118,ET2023A3031007,222717,Ethiopia,Amhara,Oromia,Chef Robit town,0.49402840435504913,0.005702212452888489,0.9880568087100983
223895,ET2023A3190213,222787,Ethiopia,Central Ethiopia,Hadiya,Gimbichu town,0.4039698839187622,0.004168776262217507,1.2119096517562866
223106,ET2023A3030911,222716,Ethiopia,Amhara,Awi,Adiss Kidame town,0.6334864795207977,0.007651835680007935,1.2669729590415955
223849,ET2023A3181510,222779,Ethiopia,South Ethiopia,Gofa,Beto town,0.6183822751045227,0.002127349376678467,1.2367645502090454
223068,ET2023A3030621,222713,Ethiopia,Amhara,East Gojam,Amanuel town,0.7094398935635885,0.005934597719419629,2.1283196806907654
223823,ET2023A3181012,222776,Ethiopia,South Ethiopia,Gamo,Kemba town,0.6333274245262146,0.01832817168875144,2.5333096981048584
223069,ET2023A3030622,222713,Ethiopia,Amhara,East Gojam,Lumame town,0.658561110496521,0.0,0.658561110496521
223790,ET2023A3180513,222774,Ethiopia,South Ethiopia,Gedeo,Wenago town,0.53853639960289,0.0023884475231170654,1.07707279920578
223789,ET2023A3180512,222774,Ethiopia,South Ethiopia,Gedeo,Yirgachefe town,0.4760826677083969,0.019317396715700843,1.9043306708335876
223785,ET2023A3180508,222774,Ethiopia,South Ethiopia,Gedeo,Chelelektu town,0.5107361674308777,0.006270647048950195,1.0214723348617554
223044,ET2023A3030528,222712,Ethiopia,Amhara,North Shewa (AM),Enewari town,0.4709547609090805,0.006045982241630554,0.941909521818161
223042,ET2023A3030526,222712,Ethiopia,Amhara,North Shewa (AM),Arerti town,0.3773384839296341,0.008483245968818665,0.7546769678592682
222963,ET2023A3030218,222709,Ethiopia,Amhara,South Gondar,Ebenat town,0.5927709341049194,0.0010922551155090332,1.1855418682098389
223016,ET2023A3030499,222711,Ethiopia,Amhara,South Wollo,Hike town,0.36390139162540436,0.010015115141868591,0.7278027832508087
223012,ET2023A3030428,222711,Ethiopia,Amhara,South Wollo,Kelela town,0.5686066150665283,0.003245115280151367,1.1372132301330566
223009,ET2023A3030425,222711,Ethiopia,Amhara,South Wollo,Harbu town,0.36685024698575336,0.01579550762071509,1.1005507409572601
223718,ET2023A3160035,222767,Ethiopia,Sidama,Sidama,Chuko town,0.21407310664653778,0.0,0.21407310664653778
223085,ET2023A3030721,222714,Ethiopia,Amhara,West Gojam,Shendi town,0.634343296289444,0.006253570318222046,1.268686592578888
223154,ET2023A3031319,222720,Ethiopia,Amhara,North Gojam,Dure Bete,0.368038073182106,0.038218368186948425,1.472152292728424
223013,ET2023A3030429,222711,Ethiopia,Amhara,South Wollo,Tulu Awila,0.6502978801727295,9.5367431640625e-07,1.300595760345459
223852,ET2023A3181602,222780,Ethiopia,South Ethiopia,Basketo,Laska town,0.38806913048028946,0.008893262271159053,1.5522765219211578
222961,ET2023A3030216,222709,Ethiopia,Amhara,South Gondar,Hamusit town,0.594481885433197,0.023678736320361528,2.377927541732788
222808,ET2023A3010114,222695,Ethiopia,Tigray,Northwest Tigray,Endabaguna town,0.3946811854839325,0.043573830350902856,1.9734059274196625
223343,ET2023A3040914,222730,Ethiopia,Oromia,West Hararge,Bedesa town,0.49068071444829303,0.010165018980805766,1.4720421433448792
223109,ET2023A3030997,222716,Ethiopia,Amhara,Awi,Zigem town,0.6510732650756836,0.0064094195266934445,3.255366325378418
223347,ET2023A3041000,222731,Ethiopia,Oromia,East Hararge,Babile town,0.6355336904525757,0.0077988669108311785,2.5421347618103027
223369,ET2023A3041097,222731,Ethiopia,Oromia,East Hararge,Deder town,0.41173792630434036,0.02694010337503992,1.6469517052173615
