id,fnid,parent_id,admin_0,admin_1,admin_2,admin_3,hwealth_mean,hwealth_sd,hwealth_sum
223343,ET2023A3040914,222730,Ethiopia,Oromia,West Hararge,Bedesa town,0.14714024712642035,0.045215994410599904,0.441420741379261
223109,ET2023A3030997,222716,Ethiopia,Amhara,Awi,Zigem town,0.24977293908596038,0.012498273662364534,1.248864695429802
223347,ET2023A3041000,222731,Ethiopia,Oromia,East Hararge,Babile town,0.2778782993555069,0.030577231537936612,1.1115131974220276
223369,ET2023A3041097,222731,Ethiopia,Oromia,East Hararge,Deder town,0.20972907170653343,0.06227484386786626,0.8389162868261337
223105,ET2023A3030910,222716,Ethiopia,Amhara,Awi,Tilili town,0.09464674070477486,0.03098526526850713,0.3785869628190994
223921,ET2023A3192517,222791,Ethiopia,Central Ethiopia,East Gurage,Bui town,0.11365460604429245,0.03664685809893001,0.34096381813287735
223896,ET2023A3190214,222787,Ethiopia,Central Ethiopia,Hadiya,Jajura town,0.2182043083012104,0.038944791667332876,0.8728172332048416
223705,ET2023A3160022,222767,Ethiopia,Sidama,Sidama,Leku town,0.12743345151344934,0.03573221560910711,0.38230035454034805
223713,ET2023A3160030,222767,Ethiopia,Sidama,Sidama,Daye town,0.06158656254410744,0.007525499910116196,0.12317312508821487
223138,ET2023A3031128,222718,Ethiopia,Amhara,Central Gondar,Kollo Debba town,0.139798104763031,0.010259483947669826,0.559192419052124
223835,ET2023A3181301,222778,Ethiopia,South Ethiopia,Konso,Karat town,0.29338204115629196,0.027915174703875067,1.1735281646251678
222850,ET2023A3010318,222697,Ethiopia,Tigray,East Tigray,Zala Anbesa town,0.3453280031681061,0.21550020575523376,0.6906560063362122
223139,ET2023A3031129,222718,Ethiopia,Amhara,Central Gondar,Shawra town,0.21363219246268272,0.034000720219860225,0.8545287698507309
223806,ET2023A3180616,222775,Ethiopia,South Ethiopia,Wolayita,Tebela town,0.2291567325592041,0.049439007198411954,0.9166269302368164
223071,ET2023A3030624,222713,Ethiopia,Amhara,East Gojam,Debrework town,0.11940483500560124,0.010248553576700315,0.35821450501680374
222845,ET2023A3010313,222697,Ethiopia,Tigray,East Tigray,Freweyni town,0.1323734731413424,0.08549892596779736,0.5294938925653696
223073,ET2023A3030698,222713,Ethiopia,Amhara,East Gojam,Dejen town,0.11346418783068657,0.0073204003274440765,0.22692837566137314
222843,ET2023A3010311,222697,Ethiopia,Tigray,East Tigray,Edaga Hamus town,0.0802247837127652,0.07025508830565437,0.3208991348510608
223814,ET2023A3181003,222776,Ethiopia,South Ethiopia,Gamo,Selamber town,0.23279714211821556,0.01817699189769608,0.9311885684728622
223155,ET2023A3031397,222720,Ethiopia,Amhara,North Gojam,Merawi town,0.0827445387840271,0.021364309381914533,0.3309781551361084
223007,ET2023A3030423,222711,Ethiopia,Amhara,South Wollo,Wereilu town,0.07721224178870519,0.012893886485140622,0.23163672536611557
223140,ET2023A3031199,222718,Ethiopia,Amhara,Central Gondar,Aykel town,0.16701240465044975,0.018511360273487206,0.668049618601799
223084,ET2023A3030720,222714,Ethiopia,Amhara,West Gojam,Jiga town,0.09319900162518024,0.011044532504402446,0.372796006500721
223832,ET2023A3181022,222776,Ethiopia,South Ethiopia,Gamo,Birbir town,0.24499042828877768,0.1137023967410537,0.734971284866333
223833,ET2023A3181023,222776,Ethiopia,South Ethiopia,Gamo,Gerese town,0.2384189635515213,0.02247976633937823,1.1920948177576065
223741,ET2023A3170916,222769,Ethiopia,South West Ethiopia,Keffa,Deka town,0.13922270201146603,0.030543166428510744,0.5568908080458641
223070,ET2023A3030623,222713,Ethiopia,Amhara,East Gojam,Gundwoin town,0.2081874484817187,0.026956531262758245,1.2491246908903122
222882,ET2023A3010701,222701,Ethiopia,Tigray,Mekele,Adihaki Sub City,0.0007549903846211237,0.0014140067643973223,0.0037749519231056183
222810,ET2023A3010116,222695,Ethiopia,Tigray,Northwest Tigray,May Tsebri town,0.36677245299021405,0.026419536093081578,2.200634717941284
223074,ET2023A3030699,222713,Ethiopia,Amhara,East Gojam,Bechena town,0.058179440908133984,0.0277166455694,0.23271776363253593
223048,ET2023A3030599,222712,Ethiopia,Amhara,North Shewa (AM),Aleme Ketma,0.08740712764362495,0.03817080292701247,0.5244427658617496
223046,ET2023A3030597,222712,Ethiopia,Amhara,North Shewa (AM),Mehale Meda town,0.016782851346458,0.018100682700916176,0.050348554039373994
223156,ET2023A3031399,222720,Ethiopia,Amhara,North Gojam,Adete town,0.0523795560002327,0.03017531949617793,0.2095182240009308
222830,ET2023A3010220,222696,Ethiopia,Tigray,Central Tigray,Enticho town,0.16655372374225408,0.10598076359035345,0.6662148949690163
222844,ET2023A3010312,222697,Ethiopia,Tigray,East Tigray,Hawzen town,0.13456580889760517,0.12924100129303656,0.5382632355904207
223011,ET2023A3030427,222711,Ethiopia,Amhara,South Wollo,Degolo town,0.10799545142799616,0.03913868104715308,0.43198180571198463
223617,ET2023A3060208,222755,Ethiopia,Benishangul Gumuz,Metekel,Gilgel Beles town,0.23068508505821228,0.05772098638383703,0.9227403402328491
222966,ET2023A3030299,222709,Ethiopia,Amhara,South Gondar,Adisezemen town,0.13700706511735916,0.032259406790293085,0.6850353255867958
222862,ET2023A3010412,222698,Ethiopia,Tigray,South Tigray,Mekhoni town,0.1401694193482399,0.06678029463508722,0.8410165160894394
223117,ET2023A3031006,222717,Ethiopia,Amhara,Oromia,Kemisie town,0.08987771868705749,0.02414223011586152,0.4493885934352875
223120,ET2023A3031099,222717,Ethiopia,Amhara,Oromia,Bati town,0.12973112799227238,0.024371820242089948,0.5189245119690895
223041,ET2023A3030525,222712,Ethiopia,Amhara,North Shewa (AM),Debre Sina town,0.13162362149783544,0.054180626164446,0.921365350484848
223627,ET2023A3060311,222756,Ethiopia,Benishangul Gumuz,Asosa,Bambasi town,0.19513774290680885,0.018674249637821546,0.7805509716272354
223010,ET2023A3030426,222711,Ethiopia,Amhara,South Wollo,Wegel tena town,0.1942140944302082,0.06447470184830442,1.1652845665812492
223808,ET2023A3180618,222775,Ethiopia,South Ethiopia,Wolayita,Gununo Hamus town,0.2522287517786026,0.03235234017130125,1.0089150071144104
223870,ET2023A3182509,222785,Ethiopia,South Ethiopia,South Omo (Pas),Turmi town,0.6857471823692322,0.028139368782365157,3.428735911846161
