id,fnid,parent_id,admin_0,admin_1,admin_2,admin_3, area_google_mean, area_google_sd, area_google_sum
223573,ET2023A3050608,222749,Ethiopia,Somali,Shebelle,Berocano,26.027945924908423,45.79521465868516,113690.06779999999
223574,ET2023A3050696,222749,Ethiopia,Somali,Shebelle,Godey town,46.49557136938057,75.05738600127688,1571038.861
223575,ET2023A3050698,222749,Ethiopia,Somali,Shebelle,Elale,22.15684806629834,34.167021707178996,48124.674
223576,ET2023A3050699,222749,Ethiopia,Somali,Shebelle,Aba-Korow,27.780028527711664,37.41006069634652,81701.06390000001
223577,ET2023A3050701,222750,Ethiopia,Somali,Dollo,Danod,23.10578421489662,26.666724104017288,278262.9593
223578,ET2023A3050702,222750,Ethiopia,Somali,Dollo,Bokh,24.109065991654397,26.94215725579018,196440.66970000003
223579,ET2023A3050703,222750,Ethiopia,Somali,Dollo,Galadi,0.0,0.0,0.0
223580,ET2023A3050704,222750,Ethiopia,Somali,Dollo,Warder,20.249751359084406,24.46670737096674,14154.5762
223581,ET2023A3050788,222750,Ethiopia,Somali,Dollo,Daratole,0.0,0.0,0.0
223582,ET2023A3050798,222750,Ethiopia,Somali,Dollo,Lehel-Yucub,24.55145080988917,30.208748523546696,28798.8518
223583,ET2023A3050799,222750,Ethiopia,Somali,Dollo,Galhamur,21.523243740340032,25.902704985713896,13925.538700000001
223584,ET2023A3050802,222751,Ethiopia,Somali,Afder,Charati,27.679910625979154,40.48369602105313,406368.7679
223585,ET2023A3050804,222751,Ethiopia,Somali,Afder,Elkare /Serer,27.067094746314705,37.11006917769085,315818.8615
223586,ET2023A3050805,222751,Ethiopia,Somali,Afder,West Imi,21.626001399432305,28.26571510616002,327612.2952
223587,ET2023A3050806,222751,Ethiopia,Somali,Afder,Hargele,48.53412862262244,69.49897410754546,528196.9218
223588,ET2023A3050807,222751,Ethiopia,Somali,Afder,Barey,27.87201712976225,37.488795979600155,291903.6354
223589,ET2023A3050808,222751,Ethiopia,Somali,Afder,Dolobay,21.730862212112594,28.199235185316386,229282.3272
223590,ET2023A3050809,222751,Ethiopia,Somali,Afder,Raso,24.015786739659365,36.71743998159618,78963.9068
223591,ET2023A3050898,222751,Ethiopia,Somali,Afder,Kohle /Qoxle,22.96413258706468,24.31416399938923,55389.4878
223592,ET2023A3050899,222751,Ethiopia,Somali,Afder,God-God,18.733293322062554,19.616354748210465,22161.486
223593,ET2023A3050901,222752,Ethiopia,Somali,Liben,Filtu,32.26401325043863,54.29422125351866,422948.9497
223594,ET2023A3050902,222752,Ethiopia,Somali,Liben,Dolo Odo,32.525682386013415,41.44306102240854,1741327.4579
223595,ET2023A3050903,222752,Ethiopia,Somali,Liben,Goro Baqaqsa,41.621471664325846,42.360627346413246,237075.9026
223596,ET2023A3050904,222752,Ethiopia,Somali,Liben,Guradamole,28.128449054982816,31.019145492393164,32741.5147
223597,ET2023A3050991,222752,Ethiopia,Somali,Liben,Deka Suftu,26.58368669007341,57.61022863228226,166573.38079999998
223598,ET2023A3050999,222752,Ethiopia,Somali,Liben,Bokolmayo,19.715288074151495,26.437634001958774,358404.2219
223599,ET2023A3051001,222753,Ethiopia,Somali,Nogob,Ayun,19.31398575989783,26.62288894750378,30245.701699999998
223600,ET2023A3051002,222753,Ethiopia,Somali,Nogob,Elwayne,17.18843484921015,24.836337244029338,35906.640400000004
223601,ET2023A3051003,222753,Ethiopia,Somali,Nogob,Garbo,16.401658495546023,25.70324276083384,149140.2807
223602,ET2023A3051005,222753,Ethiopia,Somali,Nogob,Sagag,22.463001523378583,30.806212964144024,148929.70010000002
223603,ET2023A3051006,222753,Ethiopia,Somali,Nogob,Dihun,18.178967371871273,25.028734522294613,61008.614499999996
223604,ET2023A3051095,222753,Ethiopia,Somali,Nogob,Horshagah,13.79536091644205,35.04898561802797,5118.0789
223605,ET2023A3051096,222753,Ethiopia,Somali,Nogob,Hararey,21.903515931863726,35.07539346968002,43719.417799999996
223606,ET2023A3051103,222754,Ethiopia,Somali,Daawa,Moyale (SM),21.918092776886034,20.38599933741842,95584.8026
223607,ET2023A3051104,222754,Ethiopia,Somali,Daawa,Hudet,21.263092663755458,25.138173491525635,24346.2411
223608,ET2023A3051187,222754,Ethiopia,Somali,Daawa,Mubarek,26.667476440460945,33.911756384131905,166618.39279999997
223609,ET2023A3051198,222754,Ethiopia,Somali,Daawa,Qada Duma,27.795822738336717,30.950117595573985,137033.40610000002
223610,ET2023A3060201,222755,Ethiopia,Benishangul Gumuz,Metekel,Dangura,46.025770433794584,45.76094542312151,1134213.0607999999
223611,ET2023A3060202,222755,Ethiopia,Benishangul Gumuz,Metekel,Guba,48.17738437271551,116.14370042077044,856738.4262999999
223612,ET2023A3060203,222755,Ethiopia,Benishangul Gumuz,Metekel,Wenbera,41.750136168007145,37.496800489835906,1167960.0592999998
223613,ET2023A3060204,222755,Ethiopia,Benishangul Gumuz,Metekel,Madira,36.424100206872765,32.302051364362406,316926.09589999996
223614,ET2023A3060205,222755,Ethiopia,Benishangul Gumuz,Metekel,Debati,43.623875799970236,40.42976250141765,1172435.286
223615,ET2023A3060206,222755,Ethiopia,Benishangul Gumuz,Metekel,Pawe,68.51556876533688,121.54508101737281,977237.5573
223616,ET2023A3060207,222755,Ethiopia,Benishangul Gumuz,Metekel,Bulen,37.96182022151899,38.46100351804031,959674.8152000001
223617,ET2023A3060208,222755,Ethiopia,Benishangul Gumuz,Metekel,Gilgel Beles town,77.39850802411874,78.23045398894253,166871.1833
223618,ET2023A3060301,222756,Ethiopia,Benishangul Gumuz,Asosa,Menge,29.54911204751131,29.81329969654572,365699.8107
223619,ET2023A3060302,222756,Ethiopia,Benishangul Gumuz,Asosa,Kurmuk,28.54683568654862,28.403157517271847,367569.0563
223620,ET2023A3060304,222756,Ethiopia,Benishangul Gumuz,Asosa,Sherkole,24.04445244157325,23.240860352418796,506183.8128
223621,ET2023A3060305,222756,Ethiopia,Benishangul Gumuz,Asosa,Bambasi,38.05726954283985,31.668901790256772,879922.1291000001
223622,ET2023A3060306,222756,Ethiopia,Benishangul Gumuz,Asosa,Bilidigilu,28.1764263667617,25.88171326801259,672064.1217
223623,ET2023A3060307,222756,Ethiopia,Benishangul Gumuz,Asosa,Homosha,31.786409904652313,31.26368066197766,386713.46290000004
223624,ET2023A3060308,222756,Ethiopia,Benishangul Gumuz,Asosa,Undulu,30.519840584231424,23.553038758545433,215225.91580000002
223625,ET2023A3060309,222756,Ethiopia,Benishangul Gumuz,Asosa,Assosa town,80.79402077752594,74.02361117338957,1176280.1485000001
223626,ET2023A3060310,222756,Ethiopia,Benishangul Gumuz,Asosa,Abrahmo,36.59977168363689,34.358053406467164,510420.4159
223627,ET2023A3060311,222756,Ethiopia,Benishangul Gumuz,Asosa,Bambasi town,54.72038543008279,51.16928526124631,475848.4717
223628,ET2023A3060312,222756,Ethiopia,Benishangul Gumuz,Asosa,Ura,50.949970297229896,89.32675428442062,755944.7093
223629,ET2023A3060401,222757,Ethiopia,Benishangul Gumuz,Kemashi,Zayi,37.65143520107516,38.57013122141696,364202.3327
223630,ET2023A3060402,222757,Ethiopia,Benishangul Gumuz,Kemashi,Sedal,36.188221763353376,120.60464471045567,409216.41169999994
223631,ET2023A3060403,222757,Ethiopia,Benishangul Gumuz,Kemashi,Kamashi,28.932857334921717,27.386102959640628,170009.46970000002
223632,ET2023A3060404,222757,Ethiopia,Benishangul Gumuz,Kemashi,Dembi,33.480103618720314,30.620172843235256,331218.66510000004
223633,ET2023A3060405,222757,Ethiopia,Benishangul Gumuz,Kemashi,Mizyiga,43.46637178766331,38.92493513805084,788523.4506000001
223634,ET2023A3060406,222757,Ethiopia,Benishangul Gumuz,Kemashi,Kamashi town,45.75794455053563,51.868859775314746,196484.6139
223635,ET2023A3060508,222758,Ethiopia,Benishangul Gumuz,Mao-Komo,Maokomo Special,41.99744659202698,39.003570847797356,896519.4924
223636,ET2023A3120101,222759,Ethiopia,Gambela,Nuer,Akobo,24.27518697001034,30.14956170423189,23474.105799999998
223637,ET2023A3120102,222759,Ethiopia,Gambela,Nuer,Lare,30.99818448275862,47.69829368412409,260694.7315
223638,ET2023A3120103,222759,Ethiopia,Gambela,Nuer,Jikawo,23.516514552045575,29.209599883356322,90820.7792
223639,ET2023A3120104,222759,Ethiopia,Gambela,Nuer,Wantawo,26.76138996138996,37.58509000043545,159417.59999999998
223640,ET2023A3120105,222759,Ethiopia,Gambela,Nuer,Makuey,48.708460396039605,75.11947740110158,49195.545
223641,ET2023A3120200,222760,Ethiopia,Gambela,Agniwak,Gambela National Park,23.915340625,13.02254822015116,765.2909
223642,ET2023A3120201,222760,Ethiopia,Gambela,Agniwak,Abobo,52.33575083262772,54.88154600493603,185425.5652
223643,ET2023A3120202,222760,Ethiopia,Gambela,Agniwak,Gambela Zuria,47.62169124425887,86.0515081038672,1140539.5052999998
223644,ET2023A3120203,222760,Ethiopia,Gambela,Agniwak,Gog,38.315046824887744,63.898473785788,119466.31599999999
223645,ET2023A3120204,222760,Ethiopia,Gambela,Agniwak,Jore,21.60415715725806,31.095985995072986,21431.323899999996
223646,ET2023A3120205,222760,Ethiopia,Gambela,Agniwak,Dima (GM),54.43423564387584,60.115755865414314,519084.8711
223647,ET2023A3120206,222760,Ethiopia,Gambela,Agniwak,Gambela town,61.17364805891404,76.2052973955222,1391394.6250999998
223648,ET2023A3120301,222761,Ethiopia,Gambela,Majang,Godere,58.86236904446211,53.19349633330955,1331819.9619999998
223649,ET2023A3120308,222761,Ethiopia,Gambela,Majang,Mengesh,65.8660898933902,84.58291742310622,463367.9424
223650,ET2023A3120407,222762,Ethiopia,Gambela,Itang,Itang,27.275439297696828,46.09564241570152,1081225.6892
223651,ET2023A3130101,222763,Ethiopia,Harari,Harari,Sofi,50.49711820408164,47.58984284306986,742307.6376
223652,ET2023A3130102,222763,Ethiopia,Harari,Harari,Shenkor,49.92914207134027,41.76814809247099,565497.4630999999
223653,ET2023A3130103,222763,Ethiopia,Harari,Harari,Jinela,54.446567765042985,49.37271528116784,456044.45160000003
223654,ET2023A3130104,222763,Ethiopia,Harari,Harari,Hakim,59.122128342319925,38.7440736702937,427630.3543
223655,ET2023A3130105,222763,Ethiopia,Harari,Harari,Erer (HR),52.5312731371198,35.647616860492256,533665.2038
223656,ET2023A3130106,222763,Ethiopia,Harari,Harari,Dire Teyara,55.234939472190696,46.20944766146754,389295.8534
223657,ET2023A3130107,222763,Ethiopia,Harari,Harari,Amir Nur,49.39633838383839,34.83420581441035,141816.8875
223658,ET2023A3130108,222763,Ethiopia,Harari,Harari,Aboker,53.169480238529076,45.5042296507098,320984.1522
223659,ET2023A3130109,222763,Ethiopia,Harari,Harari,Abadir,58.600046117874705,83.34320547745268,3634081.86
223660,ET2023A3140101,222764,Ethiopia,Addis Ababa,Region 14,Akaki - Kalit,85.42135118600174,246.99753255210626,12863601.275100002
223661,ET2023A3140102,222764,Ethiopia,Addis Ababa,Region 14,Nefas Silk,71.3564539767137,154.56051228613478,13053949.690500002
223662,ET2023A3140103,222764,Ethiopia,Addis Ababa,Region 14,Kolfe - Keran,63.106575882411384,75.50652396880893,13339531.116600001
223663,ET2023A3140104,222764,Ethiopia,Addis Ababa,Region 14,Bole,78.41824922299836,217.9165528735922,10541529.9883
223664,ET2023A3140105,222764,Ethiopia,Addis Ababa,Region 14,Lideta,83.68806854744652,152.9126304659687,4376969.6731
223665,ET2023A3140106,222764,Ethiopia,Addis Ababa,Region 14,Kirkos,89.67064682959543,161.93374431497918,4813879.004400001
223666,ET2023A3140107,222764,Ethiopia,Addis Ababa,Region 14,Yeka,64.8666906586966,87.48547892243381,10016130.5713
223667,ET2023A3140108,222764,Ethiopia,Addis Ababa,Region 14,Addis Ketema (AA),68.93841155051867,131.68933701685825,7542896.299799999
223668,ET2023A3140109,222764,Ethiopia,Addis Ababa,Region 14,Arada,83.82873193820504,144.4734310077095,3358849.6312999995
223669,ET2023A3140110,222764,Ethiopia,Addis Ababa,Region 14,Gulele,69.81518806097083,95.28732995120319,6403169.7882
223670,ET2023A3140111,222764,Ethiopia,Addis Ababa,Region 14,Lemi Kura,84.91466790655086,175.36818644361924,12797744.3442
223671,ET2023A3150103,222765,Ethiopia,Dire Dawa,Dire Dawa urban,Sabian,68.4518068146214,125.71146245859016,2097363.3608
223672,ET2023A3150104,222765,Ethiopia,Dire Dawa,Dire Dawa urban,Malka Jabti /M.Jebdu),66.96571507451485,415.677924460027,1249178.449
223673,ET2023A3150105,222765,Ethiopia,Dire Dawa,Dire Dawa urban,Legehare,49.215361951848664,87.50474343968374,228949.8638
223674,ET2023A3150109,222765,Ethiopia,Dire Dawa,Dire Dawa urban,Addis Ketema (DD),60.004545218824944,101.05582860991817,2402101.9542
223675,ET2023A3150110,222765,Ethiopia,Dire Dawa,Dire Dawa urban,Gende Kore,94.18877457063712,145.3485935891511,170010.73810000002
223676,ET2023A3150111,222765,Ethiopia,Dire Dawa,Dire Dawa urban,Dechatu,76.55852268468075,356.45250354215796,351327.06059999997
223677,ET2023A3150112,222765,Ethiopia,Dire Dawa,Dire Dawa urban,Hafat Issa,61.10797122381477,65.20191467882981,110849.85979999999
223678,ET2023A3150113,222765,Ethiopia,Dire Dawa,Dire Dawa urban,Kazira,116.43989522237327,351.8141187297076,599549.0205
223679,ET2023A3150114,222765,Ethiopia,Dire Dawa,Dire Dawa urban,Police Maret,45.493874798080306,79.05139649219934,388654.17240000004
223680,ET2023A3150201,222766,Ethiopia,Dire Dawa,Dire Dawa rural,Aseliso,41.79954443217191,138.94582406744016,416281.66300000006
223681,ET2023A3150206,222766,Ethiopia,Dire Dawa,Dire Dawa rural,Jeldessa,39.887341407982255,34.21250897411307,71956.76389999999
223682,ET2023A3150207,222766,Ethiopia,Dire Dawa,Dire Dawa rural,Wahil,42.84227609110496,96.19018696253843,695972.7751
223683,ET2023A3150208,222766,Ethiopia,Dire Dawa,Dire Dawa rural,Biyoawale,54.491100405725746,62.171319877540434,1195316.7785
223684,ET2023A3160001,222767,Ethiopia,Sidama,Sidama,Shebe Dino,54.74329673479022,38.00790078334813,2783094.4627
223685,ET2023A3160002,222767,Ethiopia,Sidama,Sidama,Hawassa Zuria,51.438297756281074,268.3391348556902,3062842.0016
223686,ET2023A3160003,222767,Ethiopia,Sidama,Sidama,Arbegona,52.838294057281004,41.55280982003843,2141905.9262
223687,ET2023A3160004,222767,Ethiopia,Sidama,Sidama,Dale,56.25564911350047,61.58516118230108,4337366.8023
223688,ET2023A3160005,222767,Ethiopia,Sidama,Sidama,Aleta Wendo,55.68955772314072,39.101782447139506,3007960.0812999997
223689,ET2023A3160006,222767,Ethiopia,Sidama,Sidama,Dara,48.24319644746572,66.13510242819132,1696134.3006999998
223690,ET2023A3160007,222767,Ethiopia,Sidama,Sidama,Hulla,56.236262807707185,40.533351116719956,1745348.6525
223691,ET2023A3160008,222767,Ethiopia,Sidama,Sidama,Bensa,54.96316141620607,63.75937898991226,2635208.7741
223692,ET2023A3160009,222767,Ethiopia,Sidama,Sidama,Aroresa,52.9629014277238,41.57358125278978,1428197.5999
223693,ET2023A3160010,222767,Ethiopia,Sidama,Sidama,Boricha,53.67849710227971,41.36398271795586,1311526.7197
223694,ET2023A3160011,222767,Ethiopia,Sidama,Sidama,Gorche,45.53772667524851,32.47981366801382,1910262.0962999996
223695,ET2023A3160012,222767,Ethiopia,Sidama,Sidama,Malga,47.546526001455064,35.25789923942254,2156662.8729000003
223696,ET2023A3160013,222767,Ethiopia,Sidama,Sidama,Wonosho,52.00614018434248,36.28887594470857,1794263.8424999998
223697,ET2023A3160014,222767,Ethiopia,Sidama,Sidama,Chire,51.48926365881702,44.479503614471014,1209122.3785
223698,ET2023A3160015,222767,Ethiopia,Sidama,Sidama,Bursa,52.9245040263662,34.36932919882432,1629915.9504999998
223699,ET2023A3160016,222767,Ethiopia,Sidama,Sidama,Aleta Chuko,55.723266625621754,34.839277085701525,3439295.7394000003
223700,ET2023A3160017,222767,Ethiopia,Sidama,Sidama,Bona Zuria,53.8472352954342,45.05068362565234,1684126.1311
223701,ET2023A3160018,222767,Ethiopia,Sidama,Sidama,Hawasa town,76.33685752291802,229.0348701226027,13015357.8708
223702,ET2023A3160019,222767,Ethiopia,Sidama,Sidama,Wondo-Genet,55.396976569932356,46.65830321787745,3808265.1543
223703,ET2023A3160020,222767,Ethiopia,Sidama,Sidama,Yirgalem town,70.31747800837778,105.07868601944074,1477229.5780000002
223704,ET2023A3160021,222767,Ethiopia,Sidama,Sidama,Aleta Wondo town,66.50547588034834,65.42501564907461,878204.8089999999
223705,ET2023A3160022,222767,Ethiopia,Sidama,Sidama,Leku town,71.92608730709416,68.04520156189781,601230.1638000001
223706,ET2023A3160023,222767,Ethiopia,Sidama,Sidama,Hawela,53.36115199123643,36.47860659618797,1510067.2402
223707,ET2023A3160024,222767,Ethiopia,Sidama,Sidama,Bura,51.00300797345388,36.711198755820064,530278.2739
223708,ET2023A3160025,222767,Ethiopia,Sidama,Sidama,Dara Otilicho,50.68850871684796,39.06785294328084,1393275.0391
223709,ET2023A3160026,222767,Ethiopia,Sidama,Sidama,Teticha,51.78711758305527,33.34130536979688,1427874.406
223710,ET2023A3160027,222767,Ethiopia,Sidama,Sidama,Chirone,51.77229630989181,34.56928813909275,535946.8114
223711,ET2023A3160028,222767,Ethiopia,Sidama,Sidama,Shafamo,49.561580035933204,31.728692835077144,937903.3406
223712,ET2023A3160029,222767,Ethiopia,Sidama,Sidama,Chabe Gambeltu,54.316202073344556,42.3651255774078,419158.13139999995
223713,ET2023A3160030,222767,Ethiopia,Sidama,Sidama,Daye town,71.26567013568331,74.04111389694408,509478.27579999994
223714,ET2023A3160031,222767,Ethiopia,Sidama,Sidama,Hokko,51.87569948152949,42.1709913975784,1440795.6774
223715,ET2023A3160032,222767,Ethiopia,Sidama,Sidama,Bilate Zuria,50.93666618539716,38.05231892205256,1174803.2689
223716,ET2023A3160033,222767,Ethiopia,Sidama,Sidama,Darara,56.7441596009288,39.357340455810196,1441812.3513
223717,ET2023A3160034,222767,Ethiopia,Sidama,Sidama,Daella,51.47440876421676,33.96596006347907,538576.7389
223718,ET2023A3160035,222767,Ethiopia,Sidama,Sidama,Chuko town,64.61717299547068,61.56712643244738,527857.6862
223719,ET2023A3160036,222767,Ethiopia,Sidama,Sidama,Wondo-Genet town,62.34604762817441,50.892490635264096,130116.20139999999
223720,ET2023A3160037,222767,Ethiopia,Sidama,Sidama,Loka Abaya,58.57907392897057,38.56489117861381,1886949.1294
223721,ET2023A3170801,222768,Ethiopia,South West Ethiopia,Sheka,Anderacha,62.4831629931357,68.4166420179352,828339.2918
223722,ET2023A3170802,222768,Ethiopia,South West Ethiopia,Sheka,Masha,67.92764640187914,57.794393667851544,318105.1681
223723,ET2023A3170803,222768,Ethiopia,South West Ethiopia,Sheka,Yeki,56.940183994188345,51.62577296728417,2155470.6651
223724,ET2023A3170804,222768,Ethiopia,South West Ethiopia,Sheka,Tepi,79.35179618136829,89.87002630254928,1186547.4083
223725,ET2023A3170805,222768,Ethiopia,South West Ethiopia,Sheka,Masha town,53.281105113636364,34.635895146860996,9377.4745
223726,ET2023A3170901,222769,Ethiopia,South West Ethiopia,Keffa,Saylem,64.45242648190046,41.2744446924773,1139518.9002
223727,ET2023A3170902,222769,Ethiopia,South West Ethiopia,Keffa,Gesha,59.05954590223261,40.171357227781925,2121537.0078999996
223728,ET2023A3170903,222769,Ethiopia,South West Ethiopia,Keffa,Gewata,55.882775934304306,37.8210725841181,1803337.1794
223729,ET2023A3170904,222769,Ethiopia,South West Ethiopia,Keffa,Gimbo,54.573621437229114,64.70599546590815,2971642.8345
223730,ET2023A3170905,222769,Ethiopia,South West Ethiopia,Keffa,Adiyio,56.61380890112863,36.71137290660813,2302426.9942
223731,ET2023A3170906,222769,Ethiopia,South West Ethiopia,Keffa,Tullo,51.69758614184398,36.55460903715803,1093403.9469
223732,ET2023A3170907,222769,Ethiopia,South West Ethiopia,Keffa,Cheta,44.06196206411698,30.607448375169877,470053.01129999995
223733,ET2023A3170908,222769,Ethiopia,South West Ethiopia,Keffa,Decha,60.10022113069573,39.44877825388923,1742365.5107999998
223734,ET2023A3170909,222769,Ethiopia,South West Ethiopia,Keffa,Chena,62.401456257792276,35.08701172161929,1301319.9688000001
223735,ET2023A3170910,222769,Ethiopia,South West Ethiopia,Keffa,Bita,56.03758680865921,38.92644635667443,1604916.4862
223736,ET2023A3170911,222769,Ethiopia,South West Ethiopia,Keffa,Bonga town,62.522975192789666,77.05459263951599,1297226.6893
223737,ET2023A3170912,222769,Ethiopia,South West Ethiopia,Keffa,Goba (SP),46.64109648981779,38.37009465139451,174064.5721
223738,ET2023A3170913,222769,Ethiopia,South West Ethiopia,Keffa,Shisho Ande,62.75821705660843,40.91572673021776,1016620.3581
223739,ET2023A3170914,222769,Ethiopia,South West Ethiopia,Keffa,Wacha town,78.45415273840206,69.37716279514756,243521.6901
223740,ET2023A3170915,222769,Ethiopia,South West Ethiopia,Keffa,Awurada town,62.27908273045508,32.73543934028067,53373.1739
223741,ET2023A3170916,222769,Ethiopia,South West Ethiopia,Keffa,Deka town,69.51451637468716,62.52158103862937,194432.1023
223742,ET2023A3170917,222769,Ethiopia,South West Ethiopia,Keffa,Shishinda town,69.9679544422009,55.175211400684304,277213.0355
223743,ET2023A3171101,222770,Ethiopia,South West Ethiopia,Bench Sheko,Sheko,50.96908892891536,43.681858253931914,1429020.3463
223744,ET2023A3171102,222770,Ethiopia,South West Ethiopia,Bench Sheko,Gurafereda,44.76432079836164,45.68493117820537,1333350.0592999998
223745,ET2023A3171103,222770,Ethiopia,South West Ethiopia,Bench Sheko,Debub Bench,52.193099605388774,43.85459261105984,2460121.7498999997
223746,ET2023A3171104,222770,Ethiopia,South West Ethiopia,Bench Sheko,Shay Bench,52.99224593210244,34.20880487918165,2224349.523
223747,ET2023A3171105,222770,Ethiopia,South West Ethiopia,Bench Sheko,Semen Bench,50.67948919712088,36.20900165414447,1640545.7448
223748,ET2023A3171106,222770,Ethiopia,South West Ethiopia,Bench Sheko,Gidi Bench,55.785044182389946,34.99133824086648,567668.6096000001
223749,ET2023A3171107,222770,Ethiopia,South West Ethiopia,Bench Sheko,Mizan Aman town,70.54984838918665,80.1046903501456,2395731.7516
223750,ET2023A3171108,222770,Ethiopia,South West Ethiopia,Bench Sheko,Size town,72.6465878695209,70.90173068420115,356331.5135
223751,ET2023A3171701,222771,Ethiopia,South West Ethiopia,Dawro,Tocha,64.82413653315723,40.42267689253954,1668638.0985000003
223752,ET2023A3171702,222771,Ethiopia,South West Ethiopia,Dawro,Mareka,66.96044798121353,43.33661779134141,883944.8738
223753,ET2023A3171703,222771,Ethiopia,South West Ethiopia,Dawro,Loma,67.08838145177981,51.938914231099645,1296684.2367000002
223754,ET2023A3171704,222771,Ethiopia,South West Ethiopia,Dawro,Gena,61.37622301429046,37.94108983995,738724.2202
223755,ET2023A3171705,222771,Ethiopia,South West Ethiopia,Dawro,Isara,67.3481341223598,40.10149152809135,1294565.8340999999
223756,ET2023A3171706,222771,Ethiopia,South West Ethiopia,Dawro,Kache,64.25271904233685,39.90704659912739,347542.9573
223757,ET2023A3171707,222771,Ethiopia,South West Ethiopia,Dawro,Tercha Zuriya,68.4117496067946,74.27410101250315,217480.95200000002
223758,ET2023A3171708,222771,Ethiopia,South West Ethiopia,Dawro,Mari Mansa,72.61935073793379,41.34071146880709,910283.5615000001
223759,ET2023A3171709,222771,Ethiopia,South West Ethiopia,Dawro,Disa,61.52593618448291,39.64929887388584,743048.7313000001
223760,ET2023A3171710,222771,Ethiopia,South West Ethiopia,Dawro,Zabagazo,65.6574032312566,40.141361765828705,932663.4129
223761,ET2023A3171711,222771,Ethiopia,South West Ethiopia,Dawro,Tercha town,77.57706606767796,77.43047196208327,332417.72810000007
223762,ET2023A3171712,222771,Ethiopia,South West Ethiopia,Dawro,Gesa town,72.20718927887684,61.125322297784784,113148.66560000001
223763,ET2023A3171801,222772,Ethiopia,South West Ethiopia,West Omo,Gachit,40.709038112901354,29.177124502338447,702393.7435999999
223764,ET2023A3171802,222772,Ethiopia,South West Ethiopia,West Omo,Menit Goldiye,37.39122574747892,29.227998014362473,634043.015
223765,ET2023A3171803,222772,Ethiopia,South West Ethiopia,West Omo,Gori Gesha,28.072394617498855,21.037096090853854,245128.1498
223766,ET2023A3171804,222772,Ethiopia,South West Ethiopia,West Omo,Menit Shasha,30.415454252944343,23.7365146243029,395127.1662
223767,ET2023A3171805,222772,Ethiopia,South West Ethiopia,West Omo,Bero,64.26470241850684,69.51619588334425,305578.66000000003
223768,ET2023A3171806,222772,Ethiopia,South West Ethiopia,West Omo,Surma,33.09712802197802,36.31984641300219,108426.1914
223769,ET2023A3171807,222772,Ethiopia,South West Ethiopia,West Omo,Maji,38.610251015266044,45.25591188667046,260503.36359999998
223770,ET2023A3171808,222772,Ethiopia,South West Ethiopia,West Omo,Bachuma town,51.7614279344859,46.74268427545885,341314.8558
223771,ET2023A3171809,222772,Ethiopia,South West Ethiopia,West Omo,Jemu town,59.191037157246775,52.854731861586096,105774.38339999999
223772,ET2023A3171810,222772,Ethiopia,South West Ethiopia,West Omo,Maji Tum town,52.86695020567668,50.937620074876875,257039.11190000002
223773,ET2023A3171901,222773,Ethiopia,South West Ethiopia,Konta,Amaya town,60.762460320960436,59.53071667195962,496003.9636
223774,ET2023A3171902,222773,Ethiopia,South West Ethiopia,Konta,Ameya Zuria,53.53200015859882,37.21244684593399,776321.0663000001
223775,ET2023A3171903,222773,Ethiopia,South West Ethiopia,Konta,Chida town,64.32714571329997,52.257368233252876,372904.46369999996
223776,ET2023A3171904,222773,Ethiopia,South West Ethiopia,Konta,Elahanchano,57.25234351947604,33.7548834432008,332178.0971
223777,ET2023A3171905,222773,Ethiopia,South West Ethiopia,Konta,Konta Koysha,74.64039209849321,124.62362106379348,406193.0138
223778,ET2023A3180501,222774,Ethiopia,South Ethiopia,Gedeo,Wenago,44.444205822180784,39.00613066171819,1620613.5211
223779,ET2023A3180502,222774,Ethiopia,South Ethiopia,Gedeo,Yirgachefe,44.756061677175296,44.89079925047086,2839324.5528000006
223780,ET2023A3180503,222774,Ethiopia,South Ethiopia,Gedeo,Kochere,44.21931576377028,39.59732806827851,1656986.2003000001
223781,ET2023A3180504,222774,Ethiopia,South Ethiopia,Gedeo,Bule,45.18522958123356,37.05273052364188,1013188.4029000001
223782,ET2023A3180505,222774,Ethiopia,South Ethiopia,Gedeo,Dila Zuria,44.74475664315187,44.24933787929004,1680836.7832999998
223783,ET2023A3180506,222774,Ethiopia,South Ethiopia,Gedeo,Gedeb,44.10451697015681,37.62897346920269,1918281.8611
223784,ET2023A3180507,222774,Ethiopia,South Ethiopia,Gedeo,Dila town,69.17599590378006,114.12470318912379,2516276.851
223785,ET2023A3180508,222774,Ethiopia,South Ethiopia,Gedeo,Chelelektu town,64.05309094897251,72.05185864073043,277413.9369
223786,ET2023A3180509,222774,Ethiopia,South Ethiopia,Gedeo,Rape,40.973490738146786,31.11884712935142,965294.4683000001
223787,ET2023A3180510,222774,Ethiopia,South Ethiopia,Gedeo,Churso,42.24284550185627,33.12745313482372,1274382.1631
223788,ET2023A3180511,222774,Ethiopia,South Ethiopia,Gedeo,Gedeb town,46.820588988346564,48.30709381888457,277224.7074
223789,ET2023A3180512,222774,Ethiopia,South Ethiopia,Gedeo,Yirgachefe town,67.85608674698796,76.84350500925903,512517.0232
223790,ET2023A3180513,222774,Ethiopia,South Ethiopia,Gedeo,Wenago town,58.464689675451964,60.58367944543976,268411.39029999997
223791,ET2023A3180601,222775,Ethiopia,South Ethiopia,Wolayita,Boloso Sore,66.86031750038332,42.94618923037539,3488503.9258999997
