id,fnid,parent_id,admin_0,admin_1,admin_2,admin_3,distance_osm_mean,distance_osm_sd,distance_osm_sum
223399,ET2023A3041306,222734,Ethiopia,Oromia,South West Shewa,Sebeta Hawas,4.880342240410847,3.0699118146795685,273221.07998716086
222992,ET2023A3030408,222711,Ethiopia,Amhara,South Wollo,Albuko,12.389400495396858,3.6574048205910925,703656.0011360645
223097,ET2023A3030902,222716,Ethiopia,Amhara,Awi,Banja,3.65465469398089,2.7676895933532926,206809.5998229906
223126,ET2023A3031111,222718,Ethiopia,Amhara,Central Gondar,East Dembia,6.107251449312261,4.065172084257819,349047.7420825437
223731,ET2023A3170906,222769,Ethiopia,South West Ethiopia,Keffa,Tullo,5.768760631925123,3.3666820020920087,325565.7750233263
223257,ET2023A3040518,222726,Ethiopia,Oromia,West Shewa,Jibat,5.003904918680425,3.7482118906475015,283661.36203015596
223873,ET2023A3190104,222786,Ethiopia,Central Ethiopia,Gurage,Gedebano Gutazer Welene,7.157510558537826,4.215784973723176,407727.58896710724
222872,ET2023A3010508,222699,Ethiopia,Tigray,West Tigray,Korarit,3.5523598154750777,2.592833036104706,204690.52492748946
223829,ET2023A3181018,222776,Ethiopia,South Ethiopia,Gamo,Garda Marta,14.01494115045542,3.7930765075804542,799664.5121626854
223278,ET2023A3040615,222727,Ethiopia,Oromia,North Shewa (OR),Jida,3.5728534208361977,2.652773746368622,204188.5730007887
223552,ET2023A3050497,222747,Ethiopia,Somali,Erer,Qubi,25.162960656972675,5.118195815836939,1451827.3410253525
223743,ET2023A3171101,222770,Ethiopia,South West Ethiopia,Bench Sheko,Sheko,4.73347409401417,2.9077242090664535,270944.0571413711
222824,ET2023A3010214,222696,Ethiopia,Tigray,Central Tigray,Rama,5.004325175533599,2.939993120998418,292232.57295046
222819,ET2023A3010209,222696,Ethiopia,Tigray,Central Tigray,Naeder,6.791701726189395,3.617430023659554,398727.224941127
223223,ET2023A3040406,222725,Ethiopia,Oromia,Jimma,Mena (Jimma),2.4910283128393247,1.6718526945112242,143413.4820267856
222838,ET2023A3010306,222697,Ethiopia,Tigray,East Tigray,Kelete Awelallo,4.144303592578669,3.393550485797914,243954.43097714335
223098,ET2023A3030903,222716,Ethiopia,Amhara,Awi,Ankasha,7.050599816936508,4.01623218543043,416218.0589932129
223168,ET2023A3040106,222722,Ethiopia,Oromia,West Wellega,Boji Dirmeji,3.2147464284189797,2.8017653002325353,186770.3379982859
223030,ET2023A3030514,222712,Ethiopia,Amhara,North Shewa (AM),Assagirt,7.5603543164429245,5.491845411826714,445471.19703345
223888,ET2023A3190206,222787,Ethiopia,Central Ethiopia,Hadiya,Soro,15.31685768058636,4.648736862522677,902959.3939859271
223903,ET2023A3191404,222788,Ethiopia,Central Ethiopia,Alaba,Wera Djo,3.3316586236538597,2.3748021045679546,194525.5520592779
223554,ET2023A3050499,222747,Ethiopia,Somali,Erer,Wangey,10.292165269411168,5.307078389672373,607742.0669934601
223447,ET2023A3041705,222738,Ethiopia,Oromia,West Arsi,Kore,6.260106583500042,3.0723914822016276,369208.56608166546
223796,ET2023A3180606,222775,Ethiopia,South Ethiopia,Wolayita,Kindo Koyesha,5.148677566513311,3.8158437439972173,302211.9271216318
223306,ET2023A3040805,222729,Ethiopia,Oromia,Arsi,Dodota,6.4717598494935595,5.240639155162013,382591.02702251077
222911,ET2023A3020210,222703,Ethiopia,Afar,Kilbati,Wasama,5.142103299147737,3.5273683596051852,309379.78709652275
223263,ET2023A3040594,222726,Ethiopia,Oromia,West Shewa,Meta Walkite,5.715926789191659,3.702714176919772,341195.10190042853
223291,ET2023A3040706,222728,Ethiopia,Oromia,East Shewa,Ada'a,4.823306284575824,3.2817357956008797,287570.3439926952
223267,ET2023A3040603,222727,Ethiopia,Oromia,North Shewa (OR),Hidabu Abote,5.649797356510159,4.113332305042685,338417.211857602
222846,ET2023A3010314,222697,Ethiopia,Tigray,East Tigray,Tsaeda Emba,6.634185686818761,4.712504104411146,404260.73901198804
223024,ET2023A3030508,222712,Ethiopia,Amhara,North Shewa (AM),Eferatana Gidem,4.661337992229419,2.9820029349412045,280099.7999530658
223294,ET2023A3040709,222728,Ethiopia,Oromia,East Shewa,Bishoftu town,2.481759885417804,2.281222288178616,145867.91902531683
223760,ET2023A3171710,222771,Ethiopia,South West Ethiopia,Dawro,Zabagazo,6.081538939737493,3.9341814468411593,365184.250253357
223169,ET2023A3040107,222722,Ethiopia,Oromia,West Wellega,Ayira,7.709701128916467,5.808404295174268,466783.8548502475
223844,ET2023A3181505,222779,Ethiopia,South Ethiopia,Gofa,Gezei Gofa,13.003494273676425,4.672835212021204,793694.279982388
223871,ET2023A3190102,222786,Ethiopia,Central Ethiopia,Gurage,Abeshege,3.1777227777431922,2.4482811162103055,193949.132016778
223763,ET2023A3171801,222772,Ethiopia,South West Ethiopia,West Omo,Gachit,12.45239932940895,6.634841472697963,763581.1268793568
223321,ET2023A3040820,222729,Ethiopia,Oromia,Arsi,Sire,4.420349997971433,2.282337337402498,274822.00007387996
223751,ET2023A3171701,222771,Ethiopia,South West Ethiopia,Dawro,Tocha,2.9103333012202817,2.0354725192551966,179046.61502437294
223461,ET2023A3041803,222739,Ethiopia,Oromia,Kelem,Dale Wabera,10.153598482908224,6.624363045543152,634681.1339696273
223357,ET2023A3041010,222731,Ethiopia,Oromia,East Hararge,Goro Gutu,3.9200957990333327,2.372635660437617,246005.6118683368
223004,ET2023A3030420,222711,Ethiopia,Amhara,South Wollo,Legehida,5.112484868992692,3.0538073797486303,322659.14505186677
223103,ET2023A3030908,222716,Ethiopia,Amhara,Awi,Ayehu Guwagusa,17.669505100166656,5.477659581360267,1130972.0129463673
223549,ET2023A3050407,222747,Ethiopia,Somali,Erer,Lagahida,27.548399047100478,7.287887070562122,1753152.5669584274
222833,ET2023A3010301,222697,Ethiopia,Tigray,East Tigray,Gulo Mekeda,4.396678296140382,4.058976053693906,277245.73999802023
223322,ET2023A3040821,222729,Ethiopia,Oromia,Arsi,Lude Hitosa,5.775582282121542,4.574343995522929,366761.02607928216
223303,ET2023A3040802,222729,Ethiopia,Oromia,Arsi,Aseko,6.20976852431432,3.1139943761927666,396766.9500925392
223037,ET2023A3030521,222712,Ethiopia,Amhara,North Shewa (AM),Menze Keya Gabriel,16.72372706954879,4.724540918447583,1082426.5108494759
