index,id,fnid,parent_id,admin_0,admin_1,admin_2,admin_3,ghs_1,ghs_11,ghs_12,ghs_13,ghs_14,ghs_15,ghs_2,ghs_21,ghs_22,ghs_23,ghs_24,ghs_25,ghs_255,ghs_3,ghs_4,ghs_5
112.0,222908.0,ET2023A3020207,222703.0,Ethiopia,Afar,Kilbati,Afdera,0.024064201180061865,0.019430574374558213,0.0,0.0,0.0,0.0,6.97910438698775e-05,0.0,0.0,0.0,0.0,0.0,99.95623727668766,1.2462686405335268e-06,0.0,0.0001969104452042972
761.0,223557.0,ET2023A3050503,222748.0,Ethiopia,Somali,Korahe,Shilabo,0.06264879958019161,0.058097185591761205,0.0029809866262255407,0.0023997476568109553,0.0,0.0,0.01541458568335336,0.0,0.0,0.0,0.0,0.0,99.85794904230943,0.00043699768104883376,0.0,7.265487117682321e-05
797.0,223593.0,ET2023A3050901,222752.0,Ethiopia,Somali,Liben,Filtu,0.013929302204130741,0.03265197456101133,0.0017130713656514764,0.0020306556879560707,0.0,0.0,0.02979909844539379,0.0,0.0,0.0,0.0,0.0,99.9168346241409,0.0026577501548795492,0.0,0.00038352344007122613
94.0,222890.0,ET2023A3020102,222702.0,Ethiopia,Afar,Awusi,Elidar,0.0661355958459696,0.05490039546332499,0.0007064487131096981,0.00118630066918421,0.0,0.0,0.00011596422271800703,0.0,0.0,0.0,0.0,0.0,99.87539444330635,3.732181880579537e-05,0.0,0.0015235299605365752
742.0,223538.0,ET2023A3050304,222746.0,Ethiopia,Somali,Jarar,Gashamo,0.09253284156525801,0.10716820163716943,0.001028357082763438,0.00024630627699742387,0.0,0.0,0.03742833863589886,0.0,0.0,0.0,0.0,0.0,99.75924185702084,0.002038553334043195,0.0,0.00031554444702895776
783.0,223579.0,ET2023A3050703,222750.0,Ethiopia,Somali,Dollo,Galadi,0.05370860607709927,0.06693240533160665,0.001557066681675745,0.002513197910740589,0.0,0.0,0.0324151021732455,0.0,0.0,0.0,0.0,0.0,99.84228663666032,0.0005869851653181479,0.0,0.0
784.0,223580.0,ET2023A3050704,222750.0,Ethiopia,Somali,Dollo,Warder,0.058297734660169465,0.03438995446071087,0.0045613054758397035,0.015411653928188426,0.00018768382388042939,0.0,0.007702884186367866,0.0,0.0,0.0,0.0,0.0,99.87933434210882,0.00011444135602465206,0.0,0.0
692.0,223488.0,ET2023A3042105,222741.0,Ethiopia,Oromia,East Bale,Seweyna,0.016085342559533988,0.06341496927664468,0.0003914692695593214,0.00039604785750738363,0.0,0.0,0.03687060564775386,0.0,0.0,0.0,0.0,0.0,99.85052665474957,0.031962359367431144,0.0,0.0003525512720007923
771.0,223567.0,ET2023A3050602,222749.0,Ethiopia,Somali,Shebelle,Adadle,0.03261892318066793,0.026255316274888408,0.0,0.0,0.0,0.0,0.0016675884880175957,0.0,0.0,0.0,0.0,0.0,99.93922281341364,0.0002175115419153386,0.0,1.7847100875104704e-05
788.0,223584.0,ET2023A3050802,222751.0,Ethiopia,Somali,Afder,Charati,0.042909261674968065,0.051591825648316866,0.004212849215539628,0.0012271051895550078,0.0,0.0,0.02755963810696962,0.0,0.0,0.0,0.0,0.0,99.86982130614474,0.002305431822448942,1.3987727549331695e-05,0.0003585944699010489
347.0,223143.0,ET2023A3031214,222719.0,Ethiopia,Amhara,West Gondar,Quara,0.0006315117699261968,0.13251341576786574,0.00139757860446735,0.0015644268845898964,0.0,0.0,0.015454097687909825,0.0,0.0,0.0,0.0,0.0,99.70003549742012,0.14706868562414765,5.382202584598268e-06,0.001329404038395772
791.0,223587.0,ET2023A3050806,222751.0,Ethiopia,Somali,Afder,Hargele,0.041635556021375045,0.03445427536736226,0.0016094533610001521,0.0026647869662234356,0.0,0.0,0.004541554380261675,0.0,0.0,0.0,0.0,0.0,99.91447760241682,0.00032857352352598263,0.0,0.0002881979634316881
782.0,223578.0,ET2023A3050702,222750.0,Ethiopia,Somali,Dollo,Bokh,0.05111702929936657,0.05742698309631846,0.006669537424725108,0.007869463064801206,0.0,0.0,0.03252113736005917,0.0,0.0,0.0,0.0,0.0,99.84034683958994,0.004049010164788803,0.0,0.0
850.0,223646.0,ET2023A3120205,222760.0,Ethiopia,Gambela,Agniwak,Dima (GM),0.0,0.010295010696653404,9.421913389249608e-05,0.0002700948504918221,0.0,0.0,0.004623916161409831,0.00013729073795763715,0.0,0.0,0.0,0.0,99.97565377580217,0.008924795292331105,8.973250846904388e-07,0.0
590.0,223386.0,ET2023A3041212,222733.0,Ethiopia,Oromia,Borena,Teltale,0.004723568470853339,0.108031124265537,0.0009574348566010313,0.0022563324942276052,0.0,0.0,0.0477662910888525,0.0,0.0,0.0,0.0,0.0,99.75391580813326,0.08234944069066003,0.0,0.0
781.0,223577.0,ET2023A3050701,222750.0,Ethiopia,Somali,Dollo,Danod,0.016960749786400338,0.024034710057295815,0.0011572215216338446,0.001048598888008091,0.0,0.0,0.01531934110050006,0.0,0.0,0.0,0.0,0.0,99.94075877751459,0.0007206011315695413,0.0,0.0
812.0,223608.0,ET2023A3051187,222754.0,Ethiopia,Somali,Daawa,Mubarek,0.00507490977439171,0.015521995424582819,0.0,0.0,0.0,0.0,0.012861570747236303,0.0,0.0,0.0,0.0,0.0,99.9633229234594,0.003218600594378223,0.0,0.0
