index,id,fnid,parent_id,admin_0,admin_1,admin_2,admin_3,ghs_1,ghs_2,ghs_3,ghs_4,ghs_5,ghs_11,ghs_12,ghs_13,ghs_14,ghs_15,ghs_21,ghs_22,ghs_23,ghs_24,ghs_25,ghs_255
112.0,222908.0,ET2023A3020207,222703.0,Ethiopia,Afar,Kilbati,Afdera,54.98789691015236,0.1594760074042432,0.002847785846504343,0.0,0.44995016374768615,44.39982913284921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
761.0,223557.0,ET2023A3050503,222748.0,Ethiopia,Somali,Korahe,Shilabo,44.10304625799172,10.851447912749155,0.30763444904099285,0.0,0.051147047762316655,40.89883414817601,2.0985332831891688,1.6893569010906355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
797.0,223593.0,ET2023A3050901,222752.0,Ethiopia,Somali,Liben,Filtu,16.74891992038964,35.83113541852074,3.195741169236744,0.0,0.4611575864468213,39.26150062296727,2.059837219462468,2.4417080629763275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94.0,222890.0,ET2023A3020102,222702.0,Ethiopia,Afar,Awusi,Elidar,53.075960335034175,0.09306504926029331,0.029951969876876008,0.0,1.2226821989024743,44.05934768888461,0.5669480012408673,0.9520447568007018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
742.0,223538.0,ET2023A3050304,222746.0,Ethiopia,Somali,Jarar,Gashamo,38.433940559704304,15.546032284830655,0.8467224862336877,0.0,0.13106283472882252,44.51280455608358,0.42713283548314096,0.1023044429358075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
783.0,223579.0,ET2023A3050703,222750.0,Ethiopia,Somali,Dollo,Galadi,34.05456895965163,20.55317411716677,0.3721847996189699,0.0,0.0,42.439273321085935,0.9872763148941961,1.5935224875824998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
784.0,223580.0,ET2023A3050704,222750.0,Ethiopia,Somali,Dollo,Warder,48.31344367487183,6.383659046813861,0.0948416956611279,0.0,0.0,28.500200522442253,3.7801190127792412,12.772195666547436,0.15554038088424976,0.0,0.0,0.0,0.0,0.0,0.0,0.0
692.0,223488.0,ET2023A3042105,222741.0,Ethiopia,Oromia,East Bale,Seweyna,10.761345129851897,24.667010419804264,21.38331708163797,0.0,0.2358623013421688,42.42560382280717,0.2618990488929277,0.2649621956636052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
771.0,223567.0,ET2023A3050602,222749.0,Ethiopia,Somali,Shebelle,Adadle,53.66968267660176,2.743773744195863,0.35788353185163435,0.0,0.029364802613467432,43.19929524473728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788.0,223584.0,ET2023A3050802,222751.0,Ethiopia,Somali,Afder,Charati,32.961816103855504,21.170621159876138,1.770974768737851,0.010745020659744269,0.275463256913444,39.631543473376766,3.2362048587029784,0.9426313578775655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
347.0,223143.0,ET2023A3031214,222719.0,Ethiopia,Amhara,West Gondar,Quara,0.21052883407696263,5.151975502099307,49.02869651550856,0.0017942798358832042,0.4431871194631514,44.17636574600174,0.4659146640510054,0.5215373389633847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
791.0,223587.0,ET2023A3050806,222751.0,Ethiopia,Somali,Afder,Hargele,48.6838035391603,5.310368404773145,0.384195874778192,0.0,0.3369853647418887,40.28684454718609,1.8819086069643645,3.1158936623960147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
782.0,223578.0,ET2023A3050702,222750.0,Ethiopia,Somali,Dollo,Bokh,32.01754927248269,20.369867578274444,2.536129040220168,0.0,0.0,35.969837959249155,4.177516691554875,4.929099458218662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
850.0,223646.0,ET2023A3120205,222760.0,Ethiopia,Gambela,Agniwak,Dima (GM),0.0,18.992333775615506,36.657821023146106,0.003685684800235884,0.0,42.28586171310629,0.38699690402476783,1.109391124871001,0.0,0.0,0.5639097744360901,0.0,0.0,0.0,0.0,0.0
590.0,223386.0,ET2023A3041212,222733.0,Ethiopia,Oromia,Borena,Teltale,1.9194928512154974,19.41054836822702,33.46392958685331,0.0,0.0,43.9000666585044,0.38906800527826524,0.9168945299215062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
781.0,223577.0,ET2023A3050701,222750.0,Ethiopia,Somali,Dollo,Danod,28.629979387373567,25.859258904175253,1.2163846411964911,0.0,0.0,40.570921815828584,1.95340587699535,1.7700493744307562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
812.0,223608.0,ET2023A3051187,222754.0,Ethiopia,Somali,Daawa,Mubarek,13.83673469387755,35.067055393586,8.775510204081632,0.0,0.0,42.32069970845481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
696.0,223492.0,ET2023A3042202,222742.0,Ethiopia,Oromia,East Borena,Meda Welabu,2.5735601236337,22.27334357188297,29.383566485242994,0.0,0.2872362984430122,43.54553691339858,0.9323934430443193,0.9799448660527821,0.0,0.0,0.024418298301643097,0.0,0.0,0.0,0.0,0.0
816.0,223612.0,ET2023A3060203,222755.0,Ethiopia,Benishangul Gumuz,Metekel,Wenbera,0.7793901504957874,3.855548885254725,48.581986047570744,0.0,0.48026165980085705,41.783799449355165,2.55863539445629,1.9603784130664295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
