,id,fnid,parent_id,admin_0,admin_1,admin_2,admin_3,population_mean,population_sd,population_sum
45,222841,ET2023A3010309,222697,Ethiopia,Tigray,East Tigray,Wukro town,54.598488,42.126488,48647.25390625
46,222842,ET2023A3010310,222697,Ethiopia,Tigray,East Tigray,Bizet,8.01104,5.498946,32228.4140625
47,222843,ET2023A3010311,222697,Ethiopia,Tigray,East Tigray,Edaga Hamus town,33.92253,18.751064,8412.7880859375
48,222844,ET2023A3010312,222697,Ethiopia,Tigray,East Tigray,Hawzen town,28.316257,24.941383,8013.5009765625
49,222845,ET2023A3010313,222697,Ethiopia,Tigray,East Tigray,Freweyni town,29.51867,17.72996,6700.73779296875
50,222846,ET2023A3010314,222697,Ethiopia,Tigray,East Tigray,Tsaeda Emba,6.915744,2.4028194,91101.09375
51,222847,ET2023A3010315,222697,Ethiopia,Tigray,East Tigray,Atsbi town,27.751139,12.504308,3024.8740234375
52,222848,ET2023A3010316,222697,Ethiopia,Tigray,East Tigray,Agulae,9.537289,7.5695786,79808.03125
53,222849,ET2023A3010317,222697,Ethiopia,Tigray,East Tigray,Geraleta,7.8141613,2.3945446,38883.265625
54,222850,ET2023A3010318,222697,Ethiopia,Tigray,East Tigray,Zala Anbesa town,28.173828,20.533583,3127.294921875
55,222851,ET2023A3010401,222698,Ethiopia,Tigray,South Tigray,Selewa,10.08693,4.2343407,36827.3828125
56,222852,ET2023A3010402,222698,Ethiopia,Tigray,South Tigray,Bora (TG),11.205271,4.1595545,28495.00390625
57,222853,ET2023A3010403,222698,Ethiopia,Tigray,South Tigray,Neqsege,12.500392,4.322492,25400.796875
58,222854,ET2023A3010404,222698,Ethiopia,Tigray,South Tigray,Emba Alaje,14.885381,10.436449,80976.46875
59,222855,ET2023A3010405,222698,Ethiopia,Tigray,South Tigray,Endamehoni,13.61619,6.684152,82255.40625
60,222856,ET2023A3010406,222698,Ethiopia,Tigray,South Tigray,Raya Azebo,11.645834,4.87154,108457.6484375
61,222857,ET2023A3010407,222698,Ethiopia,Tigray,South Tigray,Raya Alamata,11.431439,7.3219457,108461.5
62,222858,ET2023A3010408,222698,Ethiopia,Tigray,South Tigray,Ofla,14.475001,6.9467587,123298.0625
63,222859,ET2023A3010409,222698,Ethiopia,Tigray,South Tigray,Maichew town,48.50645,32.977795,41133.46875
64,222860,ET2023A3010410,222698,Ethiopia,Tigray,South Tigray,Korem town,73.107185,61.263176,33117.5546875
65,222861,ET2023A3010411,222698,Ethiopia,Tigray,South Tigray,Alamata town,76.94196,45.724804,59245.3125
66,222862,ET2023A3010412,222698,Ethiopia,Tigray,South Tigray,Mekhoni town,54.314278,25.339418,15045.0546875
67,222863,ET2023A3010413,222698,Ethiopia,Tigray,South Tigray,Zata,13.055312,6.49837,39583.70703125
68,222864,ET2023A3010414,222698,Ethiopia,Tigray,South Tigray,Chercher,11.255288,2.881343,62129.19140625
69,222865,ET2023A3010501,222699,Ethiopia,Tigray,West Tigray,Kafta Humera,8.296271,6.3119955,108606.4921875
70,222866,ET2023A3010502,222699,Ethiopia,Tigray,West Tigray,Welkait,5.4286714,2.63632,140656.875
71,222867,ET2023A3010503,222699,Ethiopia,Tigray,West Tigray,Tsegede (TG),5.584648,3.1117234,116456.6640625
72,222868,ET2023A3010504,222699,Ethiopia,Tigray,West Tigray,Setit Humera town,29.420279,17.892305,30744.19140625
73,222869,ET2023A3010505,222699,Ethiopia,Tigray,West Tigray,May Kadra,10.221948,8.518736,17530.640625
74,222870,ET2023A3010506,222699,Ethiopia,Tigray,West Tigray,Dansha town,9.981123,6.631473,28685.74609375
75,222871,ET2023A3010507,222699,Ethiopia,Tigray,West Tigray,Awra (TG),5.237776,2.1792572,33521.765625
76,222872,ET2023A3010508,222699,Ethiopia,Tigray,West Tigray,Korarit,7.1799035,2.973954,12062.23828125
77,222873,ET2023A3010509,222699,Ethiopia,Tigray,West Tigray,May Gaba,13.054027,11.261389,3981.47802734375
78,222874,ET2023A3010601,222700,Ethiopia,Tigray,Southeast Tigray,Saharti,6.3080087,1.7615638,77966.984375
79,222875,ET2023A3010602,222700,Ethiopia,Tigray,Southeast Tigray,Enderta,8.676021,4.699432,149461.8125
80,222876,ET2023A3010603,222700,Ethiopia,Tigray,Southeast Tigray,Hintalo,9.907244,5.8996406,123008.34375
81,222877,ET2023A3010604,222700,Ethiopia,Tigray,Southeast Tigray,Degua Temben,8.141679,3.4531977,76930.71875
82,222878,ET2023A3010605,222700,Ethiopia,Tigray,Southeast Tigray,Hagere Selam town,32.44629,22.784319,9117.4072265625
83,222879,ET2023A3010606,222700,Ethiopia,Tigray,Southeast Tigray,Samre,6.7505507,4.0851283,90680.1484375
84,222880,ET2023A3010607,222700,Ethiopia,Tigray,Southeast Tigray,Adigudom,28.35012,21.588856,11595.19921875
85,222881,ET2023A3010608,222700,Ethiopia,Tigray,Southeast Tigray,Wajirat,10.292406,4.816873,61682.390625
86,222882,ET2023A3010701,222701,Ethiopia,Tigray,Mekele,Adihaki Sub City,30.5334,12.981429,12182.826171875
87,222883,ET2023A3010702,222701,Ethiopia,Tigray,Mekele,Ayder Sub City,13.743355,10.323584,32173.193359375
88,222884,ET2023A3010703,222701,Ethiopia,Tigray,Mekele,Hadnet Sub City,14.244743,11.995499,30170.3671875
89,222885,ET2023A3010704,222701,Ethiopia,Tigray,Mekele,Hawelti Sub City,19.283443,12.373892,24046.453125
90,222886,ET2023A3010705,222701,Ethiopia,Tigray,Mekele,Kuiha Sub City,72.07883,168.01591,199514.203125
91,222887,ET2023A3010706,222701,Ethiopia,Tigray,Mekele,Qedamay Weyane Sub City,33.94125,22.072624,16529.388671875
92,222888,ET2023A3010707,222701,Ethiopia,Tigray,Mekele,Semen Sub City,23.79276,17.927338,42803.17578125
93,222889,ET2023A3020101,222702,Ethiopia,Afar,Awusi,Dubti,17.070045,10.780626,72223.359375
94,222890,ET2023A3020102,222702,Ethiopia,Afar,Awusi,Elidar,9.667176,4.584714,79493.1875
95,222891,ET2023A3020103,222702,Ethiopia,Afar,Awusi,Asayita,15.04155,4.5529976,44763.65234375
96,222892,ET2023A3020104,222702,Ethiopia,Afar,Awusi,Afambo,14.605014,2.4778886,27603.4765625
97,222893,ET2023A3020105,222702,Ethiopia,Afar,Awusi,Mile,35.608837,16.596684,59110.66796875
98,222894,ET2023A3020106,222702,Ethiopia,Afar,Awusi,Chifra,39.730408,7.5913763,65555.171875
99,222895,ET2023A3020107,222702,Ethiopia,Afar,Awusi,Dubti town,21.44129,10.102889,5424.646484375
100,222896,ET2023A3020108,222702,Ethiopia,Afar,Awusi,Kori,26.853586,8.687966,20167.04296875
101,222897,ET2023A3020109,222702,Ethiopia,Afar,Awusi,Adar,32.787033,13.467434,67901.9453125
102,222898,ET2023A3020111,222702,Ethiopia,Afar,Awusi,Asayita town,35.383663,19.505802,19496.3984375
103,222899,ET2023A3020112,222702,Ethiopia,Afar,Awusi,Chifra town,94.19073,48.127506,16012.423828125
104,222900,ET2023A3020113,222702,Ethiopia,Afar,Awusi,Mile town,65.3107,32.139397,8490.390625
105,222901,ET2023A3020198,222702,Ethiopia,Afar,Awusi,Samera Logiya town,19.1597,11.658076,32878.046875
106,222902,ET2023A3020201,222703,Ethiopia,Afar,Kilbati,Erebti,38.82308,27.2514,62738.09375
107,222903,ET2023A3020202,222703,Ethiopia,Afar,Kilbati,Kunneba,19.404583,7.699833,54041.76171875
108,222904,ET2023A3020203,222703,Ethiopia,Afar,Kilbati,Abaala,24.08005,3.725105,15724.2724609375
109,222905,ET2023A3020204,222703,Ethiopia,Afar,Kilbati,Megale,24.611345,4.2415724,29459.78125
110,222906,ET2023A3020205,222703,Ethiopia,Afar,Kilbati,Berahile,23.474546,8.086,110846.8046875
111,222907,ET2023A3020206,222703,Ethiopia,Afar,Kilbati,Dalol,20.498499,5.857852,80661.59375
112,222908,ET2023A3020207,222703,Ethiopia,Afar,Kilbati,Afdera,29.055038,23.584387,67349.578125
